degradation,degradation_group,method,N,ADE_mean,ADE_std,smooth_mean,delta_ADE_vs_noisy_mean,improved_fraction,wilcoxon_p_vs_noisy
gaussian_medium,relative_observable,noisy_input,200,0.06256657093763351,0.0077235023491084576,0.23192329704761505,0.0,0.0,nan
gaussian_medium,relative_observable,uncond_sdedit_t2,200,0.06081181392073631,0.008393502794206142,0.22401531040668488,-0.001754753291606903,0.765,1.674860201699921e-13
gaussian_medium,relative_observable,cond_residual_t20,200,0.05569539964199066,0.01624820940196514,0.1619591861963272,-0.006871167570352554,0.73,5.3349935580371266e-11
drift_medium,relative_observable,noisy_input,200,0.01764802448451519,0.006858701817691326,0.13472120463848114,0.0,0.0,nan
drift_medium,relative_observable,uncond_sdedit_t2,200,0.01948578655719757,0.008114594034850597,0.1330435425043106,0.001837761141359806,0.35,0.9999909400939941
drift_medium,relative_observable,cond_residual_t20,200,0.03159075602889061,0.013206040486693382,0.12587164342403412,0.013942735269665718,0.1,1.0
jump_medium,relative_observable,noisy_input,200,0.2633684277534485,0.08900570869445801,0.2360074669122696,0.0,0.0,nan
jump_medium,relative_observable,uncond_sdedit_t2,200,0.25718310475349426,0.08547873049974442,0.22993163764476776,-0.006185327190905809,0.74,4.36107576036438e-15
jump_medium,relative_observable,cond_residual_t20,200,0.24652285873889923,0.0824088379740715,0.19071422517299652,-0.01684558391571045,0.745,2.4046953664424997e-14
burst_medium,relative_observable,noisy_input,200,0.07475546002388,0.020440686494112015,0.31560760736465454,0.0,0.0,nan
burst_medium,relative_observable,uncond_sdedit_t2,200,0.08275182545185089,0.02426687255501747,0.3071132302284241,0.007996364496648312,0.25,1.0
burst_medium,relative_observable,cond_residual_t20,200,0.09188491106033325,0.03201163560152054,0.24872055649757385,0.01712944731116295,0.26,1.0
bias_medium,relative_unobservable,noisy_input,200,0.1889956295490265,0.09570648521184921,0.13343316316604614,0.0,0.0,nan
bias_medium,relative_unobservable,uncond_sdedit_t2,200,0.18927665054798126,0.09582646191120148,0.1320233941078186,0.00028102073702029884,0.47,0.8170410394668579
bias_medium,relative_unobservable,cond_residual_t20,200,0.18886825442314148,0.09305164217948914,0.12575477361679077,-0.00012737080396618694,0.49,0.43986910581588745
combined_medium,partially_observable,noisy_input,200,0.1990637630224228,0.08674738556146622,0.2321186512708664,0.0,0.0,nan
combined_medium,partially_observable,uncond_sdedit_t2,200,0.19896553456783295,0.08645932376384735,0.22422362864017487,-9.823426807997748e-05,0.515,0.46936318278312683
combined_medium,partially_observable,cond_residual_t20,200,0.197429358959198,0.09009168297052383,0.1619713008403778,-0.0016344179166480899,0.525,0.2316809445619583
