degradation,delta0_label,delta0,ADE_e1,ADE_auto_baseline,relative_ADE_change_vs_auto,not_significant_ADE_sacrifice_5pct,ADE_noisy_high,ADE_e1_high,C2_pass,N_high_frames,N_mid_frames,N_low_frames
drift_medium,fixed_0.02,0.02,0.02185116335749626,0.0232721455395221,-0.06105935439483423,True,0.003358593676239252,0.004499658942222595,False,764,2165,1071
drift_medium,fixed_0.05,0.05,0.01832900382578373,0.0232721455395221,-0.2124059298848765,True,0.009277711622416973,0.009868308901786804,True,2263,1726,11
drift_medium,fixed_0.10,0.1,0.01759960502386093,0.0232721455395221,-0.24374806809401106,True,0.015351430512964725,0.015493042767047882,True,3678,322,0
drift_medium,fixed_0.20,0.2,0.01749506965279579,0.0232721455395221,-0.2482399345997276,True,0.01764802634716034,0.01749507151544094,True,4000,0,0
drift_medium,auto_median_degraded_error,0.0156782567501068,0.02327214553952217,0.0232721455395221,2.886579864025407e-15,True,0.00240786443464458,0.003634951775893569,False,581,1815,1604
burst_medium,fixed_0.02,0.02,0.06987228989601135,0.0739222317934036,-0.054786520903629454,True,0.004749175161123276,0.011309424415230751,False,707,2316,977
burst_medium,fixed_0.05,0.05,0.06278473883867264,0.0739222317934036,-0.15066499866857108,True,0.010041789151728153,0.01255639735609293,False,2533,672,795
burst_medium,fixed_0.10,0.1,0.06109794229269028,0.0739222317934036,-0.17348352707416081,True,0.012544042430818081,0.012692892923951149,True,3191,74,735
burst_medium,fixed_0.20,0.2,0.06224502623081207,0.0739222317934036,-0.157966085158613,True,0.01283473614603281,0.01248370110988617,True,3213,285,502
burst_medium,auto_median_degraded_error,0.0140544418245553,0.07392223179340363,0.0739222317934036,4.440892098500626e-16,True,0.003384432988241315,0.01127510704100132,False,351,2073,1576
