degradation,delta0_label,delta0,ADE_noisy,ADE_cond,ADE_e1,ADE_e1_high,ADE_e1_low,win_rate_vs_conditional,N_high_frames,N_mid_frames,N_low_frames
gaussian_medium,fixed_0.02,0.02,0.06256657093763351,0.05569539964199066,0.05185389146208763,0.009418107569217682,0.055064041167497635,0.98,37,400,3563
gaussian_medium,fixed_0.05,0.05,0.06256657093763351,0.05569539964199066,0.048304468393325806,0.014069244265556335,0.06403684616088867,0.88,242,1821,1937
gaussian_medium,fixed_0.10,0.1,0.06256657093763351,0.05569539964199066,0.04993081092834473,0.02163422666490078,0.10153018683195114,0.635,876,2931,193
gaussian_medium,fixed_0.20,0.2,0.06256657093763351,0.05569539964199066,0.05408641695976257,0.03843525052070618,,0.415,2533,1467,0
gaussian_medium,auto_median_degraded_error,0.05882825329899788,0.06256657093763351,0.05569539964199066,0.04826045036315918,0.015238317660987377,0.06923709064722061,0.825,334,2177,1489
drift_medium,fixed_0.02,0.02,0.01764802448451519,0.03159075602889061,0.02185116335749626,0.004499658942222595,0.03832283988595009,0.995,764,2165,1071
drift_medium,fixed_0.05,0.05,0.01764802448451519,0.03159075602889061,0.01832900382578373,0.009868308901786804,0.028605641797184944,0.97,2263,1726,11
drift_medium,fixed_0.10,0.1,0.01764802448451519,0.03159075602889061,0.01759960502386093,0.015493042767047882,,0.93,3678,322,0
drift_medium,fixed_0.20,0.2,0.01764802448451519,0.03159075602889061,0.01749506965279579,0.01749507151544094,,0.92,4000,0,0
drift_medium,auto_median_degraded_error,0.01567825675010681,0.01764802448451519,0.03159075602889061,0.02327214553952217,0.003634951775893569,0.03612328693270683,0.995,581,1815,1604
burst_medium,fixed_0.02,0.02,0.07475546002388,0.09188491106033325,0.06987228989601135,0.011309424415230751,0.2151537537574768,1.0,707,2316,977
burst_medium,fixed_0.05,0.05,0.07475546002388,0.09188491106033325,0.06278473883867264,0.01255639735609293,0.25428998470306396,1.0,2533,672,795
burst_medium,fixed_0.10,0.1,0.07475546002388,0.09188491106033325,0.06109794229269028,0.012692892923951149,0.26952069997787476,1.0,3191,74,735
burst_medium,fixed_0.20,0.2,0.07475546002388,0.09188491106033325,0.06224502623081207,0.01248370110988617,0.3335668444633484,0.995,3213,285,502
burst_medium,auto_median_degraded_error,0.014054441824555397,0.07475546002388,0.09188491106033325,0.07392223179340363,0.01127510704100132,0.14881478250026703,1.0,351,2073,1576
bias_medium,fixed_0.02,0.02,0.1889956295490265,0.18886825442314148,0.18873904645442963,,0.19049330055713654,0.715,0,40,3960
bias_medium,fixed_0.05,0.05,0.1889956295490265,0.18886825442314148,0.18824763596057892,,0.1960287243127823,0.55,0,200,3800
bias_medium,fixed_0.10,0.1,0.1889956295490265,0.18886825442314148,0.187769815325737,0.023087888956069946,0.224211648106575,0.525,60,1000,2940
bias_medium,fixed_0.20,0.2,0.1889956295490265,0.18886825442314148,0.18766137957572937,0.048541538417339325,0.3041619062423706,0.52,280,2540,1180
bias_medium,auto_median_degraded_error,0.17292533814907074,0.1889956295490265,0.18886825442314148,0.1876443475484848,0.0419577918946743,0.2846246063709259,0.52,220,2220,1560
