source,destination,category,status,file_count,size_bytes,sample_hash_verified,notes
outputs/ readme,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/readme,top_level_non_mainline_output,moved,1,5261,True,not current Stage 3 SDE mainline
outputs/ddpm_eth_ucy_q20_h128,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/ddpm_eth_ucy_q20_h128,top_level_non_mainline_output,moved,18,6163534,True,not current Stage 3 SDE mainline
outputs/ppt_refine_nature_skill,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/ppt_refine_nature_skill,top_level_non_mainline_output,moved,8,3121272,True,not current Stage 3 SDE mainline
outputs/prior,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/prior,top_level_non_mainline_output,moved,1846,583221919,True,not current Stage 3 SDE mainline
outputs/stage3,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/stage3,top_level_non_mainline_output,moved,634,1263373971,True,not current Stage 3 SDE mainline
outputs/stage3_backups,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/stage3_backups,top_level_non_mainline_output,moved,14,11019306,True,not current Stage 3 SDE mainline
outputs/stage3_sim,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/stage3_sim,top_level_non_mainline_output,moved,4,2546101,True,not current Stage 3 SDE mainline
outputs/stage4,outputs/curated/stage3_sde/legacy_or_deprecated/original_outputs_tree/stage4,top_level_non_mainline_output,moved,1,226014,True,not current Stage 3 SDE mainline
outputs/stage3_indoor/.DS_Store,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/.DS_Store,stage3_indoor_non_mainline,moved,1,6148,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/conditional_residual_ddpm_gaussian,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/conditional_residual_ddpm_gaussian,stage3_indoor_non_mainline,moved,4,3418770,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/ddpm_indoor,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/ddpm_indoor,stage3_indoor_non_mainline,moved,7,2765713,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/ddpm_prior,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/ddpm_prior,stage3_indoor_non_mainline,moved,7,1350446,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/ddpm_prior_diagnostics,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/ddpm_prior_diagnostics,stage3_indoor_non_mainline,moved,6,381111,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/receptive_field_expansion,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/receptive_field_expansion,stage3_indoor_non_mainline,moved,11,8448072,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/report,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/report,stage3_indoor_non_mainline,moved,17,1381069,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/report_v2,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/report_v2,stage3_indoor_non_mainline,moved,11,5040849,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
outputs/stage3_indoor/sssd_ablation,outputs/curated/stage3_sde/legacy_or_deprecated/stage3_indoor_non_mainline/sssd_ablation,stage3_indoor_non_mainline,moved,1,168,True,stage3_indoor residue; retained ddpm_indoor_v2 in place as current prior dependency
