method,missing_condition,metric,N,mean,std,median,min,max,p05,p25,p75,p95
linear_interp,missing_only,masked_ADE,1024,0.08426861851897627,0.08549694160557265,0.06374529376626015,0.0,0.7648541927337646,8.552286708436447e-05,0.027149460278451443,0.11082953587174416,0.24493404552340498
linear_interp,missing_only,masked_RMSE,1024,0.0632037410861912,0.06344171555635,0.04857056029140949,0.0,0.5498523116111755,6.63438546325779e-05,0.02057653432711959,0.0844397321343422,0.18370173573493953
linear_interp,missing_only,endpoint_error,1024,0.06945809640688339,0.0787204476383742,0.04880118742585182,0.0,0.6362544298171997,6.36756158201024e-05,0.01708486070856452,0.09033164381980896,0.2194639958441254
linear_interp,missing_only,path_length_error,1024,0.03498390509048477,0.09370951251175794,0.00644075870513916,0.0,0.9603570699691772,0.0,0.0005576238036155701,0.023558080196380615,0.1855297088623047
linear_interp,missing_only,acceleration_error,1024,0.03169421079800751,0.03317154957445807,0.022151709534227848,0.0,0.20064011216163635,6.869270800962113e-05,0.008698267862200737,0.04170918185263872,0.1066145744174717
savgol_w5_p2,missing_only,masked_ADE,1024,0.08187126795419886,0.08324844707388591,0.06165127083659172,0.0,0.7426743507385254,0.00010106614499818536,0.026191942859441042,0.1076834462583065,0.23761832490563392
savgol_w5_p2,missing_only,masked_RMSE,1024,0.0618968238131421,0.062250060287142334,0.04698983393609524,0.0,0.5367807149887085,7.663531941943802e-05,0.01974009955301881,0.08194566890597343,0.17952287867665287
savgol_w5_p2,missing_only,endpoint_error,1024,0.06475508492629345,0.0746725231078082,0.04434322752058506,0.0,0.5829499363899231,8.85278124769684e-05,0.017091424204409122,0.0830587800592184,0.2067919448018073
savgol_w5_p2,missing_only,path_length_error,1024,0.042513109719038766,0.08998626186683566,0.01415935717523098,0.0,0.8986275792121887,3.688111901283266e-05,0.003774937242269516,0.03729889541864395,0.19471192955970737
savgol_w5_p2,missing_only,acceleration_error,1024,0.05470400573578382,0.05247435165352038,0.03106605727225542,6.35782896551973e-07,0.26327961683273315,0.0065267076948657635,0.01830858737230301,0.0849914662539959,0.16253205090761183
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_ADE,1024,0.27767775267566464,0.25386507304318806,0.22463707625865936,0.0,2.456559181213379,0.00013882632629247385,0.10349587723612785,0.3767445608973503,0.7068032979965206
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_RMSE,1024,0.21631780535098244,0.19778721777184774,0.17348168790340424,0.0,1.9110208749771118,0.00010713694973674137,0.08272723481059074,0.2898610979318619,0.5560077548027033
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,endpoint_error,1024,0.442780168043752,0.417500324584997,0.3504857271909714,0.0,3.950962543487549,0.00019756509209400974,0.14996925741434097,0.6054525673389435,1.1719458758831014
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,path_length_error,1024,0.3218510549158964,0.5881894694868702,0.09023821353912354,0.0,6.105679094791412,5.3841620683670064e-05,0.021161407232284546,0.3499370813369751,1.4501568555831887
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,acceleration_error,1024,0.12068953757965772,0.10347634159283,0.09766968712210655,0.0,0.9467251896858215,0.011371897207573057,0.05038761626929045,0.16198383271694183,0.29925829023122774
ddpm_v3_inpainting,missing_only,masked_ADE,5120,0.30426272337922455,0.2302018756400679,0.2510378360748291,0.0018110566306859255,1.8002324104309082,0.03864527195692063,0.1282462365925312,0.4293326735496521,0.755161347985268
ddpm_v3_inpainting,missing_only,masked_RMSE,5120,0.23965626703784437,0.1795088034501641,0.19830981642007828,0.0015216339379549026,1.4022791385650635,0.03052103137597442,0.10165055096149445,0.340630479156971,0.5891942501068117
ddpm_v3_inpainting,missing_only,endpoint_error,5120,0.48864122580612274,0.37342040647970953,0.4080634266138077,0.003733675694093108,2.8070948123931885,0.0572092529386282,0.20045305043458939,0.6907607465982437,1.2101256072521211
ddpm_v3_inpainting,missing_only,path_length_error,5120,0.40243756328509334,0.38304694327108585,0.2825673818588257,3.72081995010376e-05,2.8604190349578857,0.01627677083015442,0.10609839670360088,0.5934699028730392,1.1866530761122704
ddpm_v3_inpainting,missing_only,acceleration_error,5120,0.04547785702611691,0.03311711630464062,0.03707422502338886,0.0008266796357929707,0.20018334686756134,0.0064464118797332055,0.023004038725048304,0.05887408088892698,0.11684024259448055
ddpm_v3_inpainting_anchored,missing_only,masked_ADE,5120,0.08970701585483312,0.06870232664964085,0.07302694767713547,0.001389678567647934,0.5567812919616699,0.012278950447216632,0.041707937605679035,0.11783875338733196,0.22626571506261825
ddpm_v3_inpainting_anchored,missing_only,masked_RMSE,5120,0.06815241795100065,0.05164404975020567,0.055786240845918655,0.0010754583636298776,0.39537671208381653,0.009366447618231178,0.03202614653855562,0.0892265010625124,0.17143878191709522
ddpm_v3_inpainting_anchored,missing_only,endpoint_error,5120,0.0750142824012869,0.07017621243664265,0.055866749957203865,0.0005307309329509735,0.5753658413887024,0.007019956689327956,0.028001781553030014,0.09879032149910927,0.21165848374366764
ddpm_v3_inpainting_anchored,missing_only,path_length_error,5120,0.04628531437865604,0.091735246637279,0.012255311012268066,4.76837158203125e-06,0.9111610651016235,0.0005480289459228516,0.0037100017070770264,0.039792031049728394,0.22622404098510743
ddpm_v3_inpainting_anchored,missing_only,acceleration_error,5120,0.037931129587695976,0.031253852620456886,0.02922635432332754,0.0005627211066894233,0.19654624164104462,0.004868938541039825,0.01738797314465046,0.047540705651044846,0.10783593803644181
