geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,evaluated_windows,boundary_violation_count,infeasible_transition_count,window_violation_count,masked_infeasible_transition_count,masked_segment_count,total_points,total_segments,obstacle_point_violation_count,obstacle_segment_crossing_count,off_map_ratio,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_rate,obstacle_point_violation_rate,obstacle_segment_crossing_rate
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,input_degraded,,,25430,56,130855,25430,127150,127150,508600,483170,3756,130799,0.00011010617381046009,1.0,0.27082600327007056,5.145694062131341,1.0,0.007384978372001573,0.2707101020344806
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,kalman_cv_dt1.0_q1e-3_r1e-2,,,25430,110,5063,986,1295,127150,508600,483170,4664,4930,0.0002162799842705466,0.03877310263468344,0.010478713496284951,0.19909555642941407,0.010184821077467559,0.009170271333071175,0.010203448061758802
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,linear_interp,,,25430,56,4572,866,867,127150,508600,483170,4354,4515,0.00011010617381046009,0.034054266614235155,0.00946250801995157,0.17978765237907982,0.006818718049547778,0.008560755013763272,0.009344537119440362
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,savgol_w5_p2,,,25430,55,4556,856,863,127150,508600,483170,4347,4501,0.0001081399921352733,0.0336610302791978,0.009429393381211583,0.17915847424302006,0.006787259142744789,0.008546991742036963,0.009315561810542872
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,input_degraded,,,25430,100,133811,25430,127150,127150,508600,483170,4117,133676,0.00019661816751867872,1.0,0.27694393277728335,5.261934722768384,1.0,0.008094769956744003,0.2766645280129147
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,kalman_cv_dt1.0_q1e-3_r1e-2,,,25430,120,6499,1541,2102,127150,508600,483170,4502,6330,0.00023594180102241448,0.06059771922925678,0.013450752323198874,0.2555642941407786,0.016531655524970507,0.008851749901690915,0.01310097895150775
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,linear_interp,,,25430,107,7868,1761,1207,127150,508600,483170,4840,7715,0.00021038143924498624,0.06924891860007865,0.016284123600389097,0.30939834840739283,0.00949272512780181,0.00951631930790405,0.015967464867437962
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,savgol_w5_p2,,,25430,66,4996,1279,1288,127150,508600,483170,3595,4919,0.00012976799056232797,0.050294927251278015,0.010340045946561252,0.19646087298466378,0.010129767990562328,0.0070684231222965,0.01018068174762506
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_noise_drift,,input_degraded,,,25430,198,134880,25430,127150,127150,508600,483170,5279,134625,0.0003893039716869839,1.0,0.2791564045780988,5.3039716869838776,1.0,0.01037947306331105,0.2786286400231803
obstacle_v1,controlled_benchmark,span20_fixed_seed42,missing_noise_drift,,kalman_cv_dt1.0_q1e-3_r1e-2,,,25430,228,8406,1711,2379,127150,508600,483170,6355,8116,0.0004482894219425875,0.06728273692489185,0.017397603328021195,0.3305544632324027,0.018710184821077468,0.012495084545812033,0.01679740050085891
