geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,evaluated_windows,boundary_violation_count,infeasible_transition_count,window_violation_count,masked_infeasible_transition_count,masked_segment_count,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,off_map_ratio,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_rate,door_crossing_valid_ratio
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,input_degraded,,,27544,51,641,603,1,137720,550880,523336,2271,1682,9.257914609352308e-05,0.021892245135056637,0.0012248345231361877,0.02327185593958757,7.2611094975312225e-06,0.7406428885953324
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,102,1017,828,352,137720,550880,523336,3232,2341,0.00018515829218704617,0.030060993319779263,0.001943302199734014,0.03692274179494627,0.0025559105431309905,0.724319306930693
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,linear_interp,,,27544,51,730,687,90,137720,550880,523336,2987,2309,9.257914609352308e-05,0.02494191112401975,0.0013948973508415244,0.026503049665988963,0.00065349985477781,0.7730164044191496
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_drift,,savgol_w5_p2,,,27544,49,724,686,88,137720,550880,523336,2985,2310,8.894859134475748e-05,0.024905605576532094,0.0013834324411085804,0.026285216381063025,0.0006389776357827476,0.7738693467336684
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,input_degraded,,,27544,86,2397,1068,11,137720,550880,523336,4449,2180,0.0001561138541969213,0.03877432471681673,0.004580231438311142,0.0870243973279117,7.987220447284345e-05,0.48999775230388853
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,118,2005,1075,612,137720,550880,523336,4414,2576,0.00021420273017717107,0.03902846354923032,0.003831190669092132,0.07279262271275051,0.004443799012489109,0.583597643860444
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,linear_interp,,,27544,93,2581,1126,195,137720,550880,523336,5249,2803,0.00016882079581760092,0.04088004647110079,0.00493182200345476,0.09370461806564043,0.0014159163520185885,0.5340064774242713
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise,,savgol_w5_p2,,,27544,59,1384,839,245,137720,550880,523336,3773,2459,0.00010710136508858553,0.03046035434214348,0.002644572511732424,0.05024687772291606,0.0017789718268951496,0.6517360190829579
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise_drift,,input_degraded,,,27544,179,3012,1309,19,137720,550880,523336,4915,2152,0.0003249346500145222,0.04752396166134185,0.005755384685937906,0.10935230903282021,0.00013796108045309325,0.4378433367243133
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise_drift,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,217,2471,1333,657,137720,550880,523336,4729,2536,0.00039391519024106883,0.048395294801045596,0.004721631991684119,0.08971100784199826,0.004770548939878013,0.5362655952632692
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise_drift,,linear_interp,,,27544,198,3229,1375,236,137720,550880,523336,5735,2772,0.0003594249201277955,0.04992012779552716,0.006170032254612715,0.11723061283764159,0.0017136218414173685,0.48334786399302526
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_noise_drift,,savgol_w5_p2,,,27544,156,1896,1115,294,137720,550880,523336,4120,2406,0.0002831832704037177,0.040480685448736564,0.0036229114756103154,0.068835318036596,0.0021347661922741794,0.5839805825242719
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_only,,input_degraded,,,27544,0,0,0,0,137720,550880,523336,1813,1813,0.0,0.0,0.0,0.0,0.0,1.0
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_only,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,44,408,270,320,137720,550880,523336,2792,2450,7.987220447284345e-05,0.009802497821667151,0.0007796138618401944,0.014812663374963694,0.0023235550392099913,0.8775071633237822
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_only,,linear_interp,,,27544,0,24,24,24,137720,550880,523336,2491,2467,0.0,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,0.00017426662794074935,0.9903653151344841
two_room_v1,controlled_benchmark,span20_fixed_seed42,missing_only,,savgol_w5_p2,,,27544,0,49,44,24,137720,550880,523336,2504,2455,0.0,0.001597444089456869,9.36300961523763e-05,0.0017789718268951496,0.00017426662794074935,0.9804313099041534
two_room_v1,phase1_baseline,span10_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,6,174,146,76,82632,550880,523336,2585,2422,1.0891664246296835e-05,0.005300609933197793,0.00033248238225537703,0.006317165262852164,0.0009197405363539549,0.9369439071566731
two_room_v1,phase1_baseline,span10_fixed_seed42,,,linear_interp,,,27544,0,6,6,6,82632,550880,523336,2491,2485,0.0,0.00021783328492593667,1.1464909732944035e-05,0.00021783328492593667,7.261109497531223e-05,0.997591328783621
two_room_v1,phase1_baseline,span10_fixed_seed42,,,savgol_w5_p2,,,27544,0,34,29,7,82632,550880,523336,2504,2470,0.0,0.0010528608771420273,6.49678218200162e-05,0.001234388614580308,8.471294413786427e-05,0.9864217252396166
two_room_v1,phase1_baseline,span20_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,44,408,270,320,137720,550880,523336,2792,2450,7.987220447284345e-05,0.009802497821667151,0.0007796138618401944,0.014812663374963694,0.0023235550392099913,0.8775071633237822
two_room_v1,phase1_baseline,span20_fixed_seed42,,,linear_interp,,,27544,0,24,24,24,137720,550880,523336,2491,2467,0.0,0.0008713331397037467,4.585963893177614e-05,0.0008713331397037467,0.00017426662794074935,0.9903653151344841
two_room_v1,phase1_baseline,span20_fixed_seed42,,,savgol_w5_p2,,,27544,0,49,44,24,137720,550880,523336,2504,2455,0.0,0.001597444089456869,9.36300961523763e-05,0.0017789718268951496,0.00017426662794074935,0.9804313099041534
two_room_v1,phase1_baseline,span20_random_seed0,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,27544,33,395,266,308,137720,550880,523336,2775,2431,5.990415335463259e-05,0.009657275631716526,0.0007547732240854824,0.014340691257624164,0.0022364217252396168,0.8760360360360361
two_room_v1,phase1_baseline,span20_random_seed0,,,linear_interp,,,27544,0,28,28,28,137720,550880,523336,2491,2463,0.0,0.0010165553296543712,5.3502912087072166e-05,0.0010165553296543712,0.00020331106593087425,0.9887595343235648
two_room_v1,phase1_baseline,span20_random_seed0,,,savgol_w5_p2,,,27544,0,54,49,29,137720,550880,523336,2503,2449,0.0,0.0017789718268951496,0.00010318418759649633,0.0019604995643334303,0.00021057217542840546,0.9784258889332801
