method,degradation,metric,mean,std,min,max,median,p25,p75,n_trajectories,n_seeds,n_total
linear_interp,missing_only,ADE,0.0025862008333206177,0.0025986339896917343,0.0,0.021794702857732773,0.001945927506312728,0.0008250427199527621,0.003523430321365595,1024,1,1024
linear_interp,missing_only,RMSE,0.006142535246908665,0.0061108870431780815,0.0,0.05038800463080406,0.004642287269234657,0.0020260843448340893,0.008487457409501076,1024,1,1024
linear_interp,missing_only,masked_ADE,0.01293100544525836,0.012993169962917897,0.0,0.10897351056337357,0.009729637298732996,0.004125213599763811,0.01761715207248926,1024,1,1024
linear_interp,missing_only,masked_RMSE,0.009712201151075055,0.009662160534185574,0.0,0.07967042922973633,0.007340100361034274,0.0032035206095315516,0.013419849332422018,1024,1,1024
linear_interp,missing_only,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
linear_interp,missing_only,off_map_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_only,ADE,0.004550592973828316,0.0038798542227596045,0.0,0.024796288460493088,0.003391179721802473,0.0016638198867440224,0.0065866135992109776,1024,1,1024
savgol_w5_p2,missing_only,RMSE,0.007065942976623774,0.0062187230214476585,0.0,0.04955099895596504,0.0055090198293328285,0.002649585483595729,0.009626306593418121,1024,1,1024
savgol_w5_p2,missing_only,masked_ADE,0.012572895510972515,0.01266865091928278,0.0,0.1050080806016922,0.009413008578121662,0.003974433755502105,0.0173377045430243,1024,1,1024
savgol_w5_p2,missing_only,masked_RMSE,0.009517501982960752,0.009492234013426656,0.0,0.07774736732244492,0.007211613701656461,0.002988300460856408,0.013005230575799942,1024,1,1024
savgol_w5_p2,missing_only,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_only,off_map_ratio,4.8828125e-05,0.0015617368741913556,0.0,0.05,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,ADE,0.013752141036093235,0.01018121000379324,0.0,0.09317141026258469,0.012265028432011604,0.006713777780532837,0.018540158867836,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,RMSE,0.02295413240790367,0.018919408321380615,0.0,0.1882905215024948,0.019503029063344002,0.01035702507942915,0.030895903706550598,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_ADE,0.04217774763599369,0.03866867410665224,0.0,0.38283729553222656,0.03416532650589943,0.015315610449761152,0.057701416313648224,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_RMSE,0.03279829341766494,0.030022526583018298,0.0,0.29514798521995544,0.026570909656584263,0.012254268396645784,0.04498439747840166,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,off_map_ratio,0.000244140625,0.004126771026507845,0.0,0.1,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_only,ADE,0.024070441722869873,0.0128746647387743,0.0018719494109973311,0.07122700661420822,0.022171378135681152,0.013150440528988838,0.031642571091651917,1024,1,1024
ddpm_v1_masked_replace,missing_only,RMSE,0.05425858125090599,0.028930597007274628,0.004968138877302408,0.16005145013332367,0.04984188824892044,0.02970213256776333,0.07115437835454941,1024,1,1024
ddpm_v1_masked_replace,missing_only,masked_ADE,0.12035222102167609,0.0643733228119877,0.009359747171401978,0.3561350405216217,0.11085689812898636,0.06575220078229904,0.15821284800767899,1024,1,1024
ddpm_v1_masked_replace,missing_only,masked_RMSE,0.08579035318962269,0.045743290342904044,0.007855317555367947,0.2530635595321655,0.07880694791674614,0.04696319252252579,0.11250495165586472,1024,1,1024
ddpm_v1_masked_replace,missing_only,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_only,off_map_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_only,ADE,0.003930450417101383,0.0030533582903444767,0.0004629153700079769,0.026457205414772034,0.003216115990653634,0.001869924832135439,0.005132570862770081,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_only,RMSE,0.009068976156413555,0.007039777934551239,0.0010928114643320441,0.060513339936733246,0.007276054471731186,0.004317936487495899,0.011790350079536438,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_only,masked_ADE,0.01965225023491257,0.015266791927918544,0.002314576879143715,0.13228602707386017,0.016080578789114952,0.009349623695015907,0.025662855245172977,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_only,masked_RMSE,0.014339311206867933,0.011130867075637832,0.0017278864979743958,0.09567999094724655,0.011504452675580978,0.00682725734077394,0.018642179667949677,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_only,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_only,off_map_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v3_inpainting,missing_only,ADE,0.11963257938623428,0.11604613810777664,0.0021253968589007854,1.0787293910980225,0.08211205899715424,0.045005690306425095,0.15058450400829315,1024,5,5120
ddpm_v3_inpainting,missing_only,RMSE,0.1626472771167755,0.15794889628887177,0.0029029380530118942,1.4656766653060913,0.11105586588382721,0.06106290966272354,0.20471909642219543,1024,5,5120
ddpm_v3_inpainting,missing_only,masked_ADE,0.12382677287814658,0.11951998375722783,0.0018239180790260434,1.0932769775390625,0.08474522083997726,0.047607652842998505,0.15357211977243423,1024,5,5120
ddpm_v3_inpainting,missing_only,masked_RMSE,0.09780363105012384,0.09406174553776658,0.0013015829026699066,0.8644222617149353,0.0667780190706253,0.03783547040075064,0.12241129949688911,1024,5,5120
ddpm_v3_inpainting,missing_only,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,5,5120
ddpm_v3_inpainting,missing_only,off_map_ratio,0.01076171875,0.06596197605094846,0.0,0.6,0.0,0.0,0.0,1024,5,5120
linear_interp,missing_noise,ADE,0.0367492213845253,0.005312768742442131,0.023221582174301147,0.06987796723842621,0.0363469198346138,0.033062875270843506,0.03997798636555672,1024,1,1024
linear_interp,missing_noise,RMSE,0.041148602962493896,0.005769525654613972,0.02779611200094223,0.08930458128452301,0.040803320705890656,0.03730803728103638,0.04437440633773804,1024,1,1024
linear_interp,missing_noise,masked_ADE,0.0338153029838395,0.0158129337566703,0.006711165886372328,0.1724562793970108,0.03123198077082634,0.02306537004187703,0.04190619941800833,1024,1,1024
linear_interp,missing_noise,masked_RMSE,0.024894773319829255,0.01122458649286345,0.005115102045238018,0.12359212338924408,0.02321015577763319,0.017219089437276125,0.030534692108631134,1024,1,1024
linear_interp,missing_noise,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
linear_interp,missing_noise,off_map_ratio,9.765625e-05,0.002207549717862758,0.0,0.05,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_noise,ADE,0.029164165258407593,0.005206363275647163,0.01690172590315342,0.06494860351085663,0.028847262263298035,0.02568555623292923,0.03222374618053436,1024,1,1024
savgol_w5_p2,missing_noise,RMSE,0.03284677863121033,0.006109884008765221,0.019154876470565796,0.08708896487951279,0.032400310039520264,0.028716087341308594,0.036064378917217255,1024,1,1024
savgol_w5_p2,missing_noise,masked_ADE,0.035482832922753005,0.015807940689984968,0.0074549270793795586,0.1718757301568985,0.03318975493311882,0.024689112324267626,0.043688260950148106,1024,1,1024
savgol_w5_p2,missing_noise,masked_RMSE,0.02631007181662426,0.011217106125679456,0.005757063627243042,0.12327006459236145,0.025072661228477955,0.018508058972656727,0.031996527686715126,1024,1,1024
savgol_w5_p2,missing_noise,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
savgol_w5_p2,missing_noise,off_map_ratio,4.8828125e-05,0.0015617368741913556,0.0,0.05,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise,ADE,0.03751548007130623,0.009856860153377056,0.01871092990040779,0.09510307013988495,0.03603094071149826,0.0307600274682045,0.04242032766342163,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise,RMSE,0.04512830823659897,0.016135472804307938,0.021789180114865303,0.17664402723312378,0.041390836238861084,0.035180673003196716,0.05084020271897316,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise,masked_ADE,0.06488035214715637,0.040375101273480186,0.0040225377306342125,0.3560510575771332,0.05743846669793129,0.037619953975081444,0.0833662860095501,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise,masked_RMSE,0.04848171808703228,0.03071941477036061,0.003130112774670124,0.2759222090244293,0.042475294321775436,0.027773549780249596,0.0620614904910326,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
kalman_cv_dt1.0_q1e-3_r1e-2,missing_noise,off_map_ratio,0.00014648437500000002,0.002702362129301116,0.0,0.05,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_noise,ADE,0.05389914661645889,0.01366393268108368,0.02861126698553562,0.1122269481420517,0.052193909883499146,0.04350017383694649,0.0620541088283062,1024,1,1024
ddpm_v1_masked_replace,missing_noise,RMSE,0.06791530549526215,0.024585837498307228,0.03244709596037865,0.17760978639125824,0.06268048286437988,0.04865819215774536,0.08128228783607483,1024,1,1024
