method,degradation,metric,std_across_trajectories,std_across_seeds,std_total
linear_interp,missing_only,ADE,0.0025986339896917343,nan,0.0025986339896917343
linear_interp,missing_only,RMSE,0.0061108870431780815,nan,0.0061108870431780815
linear_interp,missing_only,masked_ADE,0.012993169962917897,nan,0.012993169962917897
linear_interp,missing_only,masked_RMSE,0.009662160534185574,nan,0.009662160534185574
linear_interp,missing_only,wall_crossing_count,0.0,nan,0.0
linear_interp,missing_only,off_map_ratio,0.0,nan,0.0
savgol_w5_p2,missing_only,ADE,0.0038798542227596045,nan,0.0038798542227596045
savgol_w5_p2,missing_only,RMSE,0.0062187230214476585,nan,0.0062187230214476585
savgol_w5_p2,missing_only,masked_ADE,0.01266865091928278,nan,0.01266865091928278
savgol_w5_p2,missing_only,masked_RMSE,0.009492234013426656,nan,0.009492234013426656
savgol_w5_p2,missing_only,wall_crossing_count,0.0,nan,0.0
savgol_w5_p2,missing_only,off_map_ratio,0.0015617368741913556,nan,0.0015617368741913556
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,ADE,0.01018121000379324,nan,0.01018121000379324
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,RMSE,0.018919408321380615,nan,0.018919408321380615
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_ADE,0.03866867410665224,nan,0.03866867410665224
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,masked_RMSE,0.030022526583018298,nan,0.030022526583018298
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,wall_crossing_count,0.0,nan,0.0
kalman_cv_dt1.0_q1e-3_r1e-2,missing_only,off_map_ratio,0.004126771026507845,nan,0.004126771026507845
ddpm_v1_masked_replace,missing_only,ADE,0.0128746647387743,nan,0.0128746647387743
ddpm_v1_masked_replace,missing_only,RMSE,0.028930597007274628,nan,0.028930597007274628
ddpm_v1_masked_replace,missing_only,masked_ADE,0.0643733228119877,nan,0.0643733228119877
ddpm_v1_masked_replace,missing_only,masked_RMSE,0.045743290342904044,nan,0.045743290342904044
