method,degradation,ADE_mean,ADE_std,ADE_median,RMSE_mean,smooth_mean,OOR_rate,n_traj,n_seed,source,paired_wilcoxon_p_vs_current_2block
noisy_input,gaussian_medium,0.0625665709376,0.00772350234911,0.0626994967461,0.0697879940271,0.231923297048,0,200,5,stage3_main_existing,NA
noisy_input,drift_medium,0.0176480263472,0.00685870228335,0.0165656469762,0.0198932308704,0.13472121954,0,200,5,stage3_main_existing,NA
noisy_input,jump_medium,0.263368427753,0.0890057086945,0.266131281853,0.303998351097,0.236007466912,0.0922499969602,200,5,stage3_main_existing,NA
noisy_input,burst_medium,0.0747554525733,0.0204406846315,0.0731110274792,0.157374233007,0.315607607365,0.0195000004023,200,5,stage3_main_existing,NA
noisy_input,bias_medium,0.188995599747,0.0957064852118,0.172925323248,0.188995599747,0.133433163166,0.0252500008792,200,5,stage3_main_existing,NA
noisy_input,combined_medium,0.199063777924,0.0867473855615,0.177693873644,0.205302104354,0.23211863637,0.035000000149,200,5,stage3_main_existing,NA
current_2block_conditional,gaussian_medium,0.0785824134946,0.027090292424,0.0736647844315,0.0862376540899,0.167531535029,0.00160000019241,200,5,stage3_main_existing,NA
current_2block_conditional,drift_medium,0.0584019757807,0.0254165772349,0.054593577981,0.06485529989,0.133528992534,0.000200000009499,200,5,stage3_main_existing,NA
current_2block_conditional,jump_medium,0.254258722067,0.0818555131555,0.255831837654,0.285718619823,0.196935087442,0.079549998045,200,5,stage3_main_existing,NA
current_2block_conditional,burst_medium,0.112086042762,0.0355392098427,0.107016727328,0.150434240699,0.254790335894,0.0146000003442,200,5,stage3_main_existing,NA
current_2block_conditional,bias_medium,0.195254579186,0.0961232632399,0.180508434772,0.197207465768,0.133439481258,0.0293000005186,200,5,stage3_main_existing,NA
current_2block_conditional,combined_medium,0.205048069358,0.0926600247622,0.188133522868,0.209817886353,0.167539641261,0.0384000018239,200,5,stage3_main_existing,NA
expanded_4block_conditional,gaussian_medium,0.07517696172,0.0263163242489,0.0712319090962,0.0823361352086,0.160771936178,0.00159999995958,200,5,new_4block_eval,1.16806190454e-20
expanded_4block_conditional,drift_medium,0.054937876761,0.0238496027887,0.051446415484,0.0609331578016,0.133490234613,0.000250000011874,200,5,new_4block_eval,0
expanded_4block_conditional,jump_medium,0.250956594944,0.0805020481348,0.248800218105,0.281995981932,0.192171245813,0.0757500007749,200,5,new_4block_eval,1.33335335638e-14
expanded_4block_conditional,burst_medium,0.112498059869,0.0385050140321,0.105854436755,0.148638918996,0.248843967915,0.0130500001833,200,5,new_4block_eval,0.0408898033202
expanded_4block_conditional,bias_medium,0.194937676191,0.0959018543363,0.180070579052,0.196671456099,0.133409783244,0.0274500008672,200,5,new_4block_eval,0.0289728809148
expanded_4block_conditional,combined_medium,0.205078214407,0.093212582171,0.188498586416,0.20938590169,0.160883843899,0.037650000304,200,5,new_4block_eval,0.469983965158
