epoch,train_loss,val_loss,elapsed_seconds,is_best
1,0.37140758,0.94346119,112.81,True
2,0.23732492,0.65539321,85.00,True
3,0.21206728,0.49533144,85.34,True
4,0.19296080,0.39677814,87.38,True
5,0.18484190,0.32914551,85.15,True
6,0.17589002,0.28079476,84.97,True
7,0.17078613,0.24502977,85.29,True
8,0.16592627,0.21831107,85.90,True
9,0.16336718,0.19849372,85.19,True
10,0.15947420,0.18376665,85.13,True
11,0.15582974,0.17278801,85.08,True
12,0.15376614,0.16461440,86.99,True
13,0.15503892,0.15839202,86.53,True
14,0.15110673,0.15350722,85.42,True
15,0.15096565,0.14960711,85.20,True
16,0.14924919,0.14655565,86.11,True
17,0.14978593,0.14411228,87.90,True
18,0.14896426,0.14211491,86.19,True
19,0.14588814,0.14047804,87.30,True
20,0.14674541,0.13908167,86.71,True
21,0.14470464,0.13782788,521.64,True
22,0.14492303,0.13676069,139.04,True
23,0.14484209,0.13578519,435.93,True
24,0.14465806,0.13492576,982.15,True
25,0.14465825,0.13408167,718.04,True
26,0.14237119,0.13331033,297.52,True
27,0.14120628,0.13264517,352.67,True
28,0.14288581,0.13204188,126.03,True
29,0.13981468,0.13151249,84.47,True
30,0.14201833,0.13105369,85.31,True
31,0.14052832,0.13056454,85.06,True
32,0.13856341,0.13006927,84.99,True
33,0.13808302,0.12969684,84.68,True
34,0.13808156,0.12937807,84.59,True
35,0.13960985,0.12901753,84.38,True
36,0.13918817,0.12861030,84.54,True
37,0.13798848,0.12834369,84.68,True
38,0.13907632,0.12805916,84.75,True
39,0.13717076,0.12775724,84.68,True
40,0.13647633,0.12738092,84.52,True
41,0.13822835,0.12713718,84.22,True
42,0.13687330,0.12691908,127.77,True
43,0.13532147,0.12669072,151.83,True
44,0.13656965,0.12643669,85.20,True
45,0.13653680,0.12620912,85.39,True
46,0.13519692,0.12601475,85.70,True
47,0.13660379,0.12588102,87.26,True
48,0.13622070,0.12567658,86.59,True
49,0.13611550,0.12544523,84.60,True
50,0.13612145,0.12532437,84.67,True
51,0.13625044,0.12519868,84.90,True
52,0.13387265,0.12498678,86.47,True
53,0.13407030,0.12482053,86.11,True
54,0.13399221,0.12469928,84.58,True
55,0.13420665,0.12456861,84.58,True
56,0.13566311,0.12438853,85.88,True
57,0.13345387,0.12417944,85.10,True
58,0.13405611,0.12399528,84.72,True
59,0.13211920,0.12387577,84.84,True
60,0.13391026,0.12374234,85.18,True
