condition,method,t_start,tau_high,gamma,ADE,RMSE,acceleration_RMS,high_conf_ADE,mid_conf_ADE,low_conf_ADE,noisy_reversion_gap,motion_usage_ratio,win_rate_vs_noisy_input,win_rate_vs_vanilla_best,setting,best_vanilla_t_start,high_conf_no_harm_ratio,low_conf_preservation_ratio
gaussian_medium,fused_tau05_gamma1,2,0.5,1,0.06058385968208313,0.06770166754722595,0.25613564252853394,0.014083261601626873,0.04558815062046051,0.09293901920318604,-0.0019827112555503845,0.5170650048086557,0.89,0.455,tau05_gamma1,2,1.0,1.0068028660400534
gaussian_medium,fused_tau05_gamma2,2,0.5,2,0.06099932640790939,0.06799396872520447,0.2571302354335785,0.014083261601626873,0.04596405103802681,0.09350555390119553,-0.001567244529724121,0.37444658127631475,0.905,0.385,tau05_gamma2,2,1.0,1.0129401027201617
gaussian_medium,fused_tau07_gamma1,2,0.7,1,0.0604635588824749,0.06767125427722931,0.25568509101867676,0.014083261601626873,0.04536711797118187,0.09293901920318604,-0.002103012055158615,0.5915950280977886,0.875,0.455,tau07_gamma1,2,1.0,1.0068028660400534
gaussian_medium,fused_tau07_gamma2,2,0.7,2,0.060924701392650604,0.06796112656593323,0.25693732500076294,0.014083261601626873,0.045826930552721024,0.09350555390119553,-0.0016418695449829102,0.40552921709065515,0.905,0.395,tau07_gamma2,2,1.0,1.0129401027201617
gaussian_medium,fused_tau09_gamma1,2,0.9,1,0.060465507209300995,0.06767623126506805,0.2556130886077881,0.014106599614024162,0.04536711797118187,0.09293901920318604,-0.0021010637283325195,0.6090047760439581,0.875,0.47,tau09_gamma1,2,1.0016571454154195,1.0068028660400534
gaussian_medium,fused_tau09_gamma2,2,0.9,2,0.06092071533203125,0.06796029210090637,0.2569243609905243,0.014035581611096859,0.045826930552721024,0.09350555390119553,-0.0016458556056022644,0.4096050505465436,0.9,0.395,tau09_gamma2,2,0.9966144212982235,1.0129401027201617
drift_medium,fused_tau05_gamma1,1,0.5,1,0.01768897846341133,0.01998271979391575,0.17714305222034454,0.00240786443464458,0.012236312963068485,0.029394039884209633,4.095397889614105e-05,0.5803836414968737,0.5,0.625,tau05_gamma1,1,1.0,0.9943799604221677
drift_medium,fused_tau05_gamma2,1,0.5,2,0.017613856121897697,0.01986977458000183,0.17717990279197693,0.00240786443464458,0.012148845940828323,0.02930567041039467,-3.4168362617492676e-05,0.44910327994808397,0.525,0.6,tau05_gamma2,1,1.0,0.9913904824796731
drift_medium,fused_tau07_gamma1,1,0.7,1,0.017699018120765686,0.01999102532863617,0.17715801298618317,0.00240786443464458,0.0122584393247962,0.029394039884209633,5.099363625049591e-05,0.6443371878495207,0.485,0.655,tau07_gamma1,1,1.0,0.9943799604221677
drift_medium,fused_tau07_gamma2,1,0.7,2,0.0176082830876112,0.01986219920217991,0.1771894097328186,0.00240786443464458,0.01213656272739172,0.02930567041039467,-3.97413969039917e-05,0.4759001322286737,0.52,0.6,tau07_gamma2,1,1.0,0.9913904824796731
drift_medium,fused_tau09_gamma1,1,0.9,1,0.017708875238895416,0.01999472826719284,0.17712856829166412,0.0024757294449955225,0.0122584393247962,0.029394039884209633,6.0850754380226135e-05,0.6588492210955872,0.5,0.655,tau09_gamma1,1,1.0281847305747345,0.9943799604221677
drift_medium,fused_tau09_gamma2,1,0.9,2,0.0176084041595459,0.019861947745084763,0.17718280851840973,0.002408713800832629,0.01213656272739172,0.02930567041039467,-3.962032496929169e-05,0.47927591243426326,0.52,0.6,tau09_gamma2,1,1.0003527466811788,0.9913904824796731
burst_medium,fused_tau05_gamma1,1,0.5,1,0.07409573346376419,0.15396100282669067,0.43939459323883057,0.003384432988241315,0.011864076368510723,0.17170099914073944,-0.0006597265601158142,0.5556339952788835,0.73,0.975,tau05_gamma1,1,1.0,0.9959734617035877
burst_medium,fused_tau05_gamma2,1,0.5,2,0.07353372871875763,0.15386143326759338,0.4393136203289032,0.003384432988241315,0.011094742454588413,0.17128652334213257,-0.0012217313051223755,0.4582681035274403,0.82,0.95,tau05_gamma2,1,1.0,0.9935692421708144
burst_medium,fused_tau07_gamma1,1,0.7,1,0.0744890570640564,0.15399733185768127,0.43925338983535767,0.003384432988241315,0.012623021379113197,0.17170099914073944,-0.0002664029598236084,0.6399870640801599,0.65,0.98,tau07_gamma1,1,1.0,0.9959734617035877
burst_medium,fused_tau07_gamma2,1,0.7,2,0.07359220832586288,0.15386758744716644,0.43925297260284424,0.003384432988241315,0.01120760664343834,0.17128652334213257,-0.0011632516980171204,0.4937403064676442,0.805,0.965,tau07_gamma2,1,1.0,0.9935692421708144
