condition,method,t_start,tau_high,gamma,ADE,RMSE,acceleration_RMS,high_conf_ADE,mid_conf_ADE,low_conf_ADE,noisy_reversion_gap,motion_usage_ratio,win_rate_vs_noisy_input,noisy_ADE,curve_type
gaussian_medium,sdedit_t1,1,,,0.061277151107788086,0.06843482702970505,0.2571369707584381,0.016203591600060463,0.04571187123656273,0.09414496272802353,-0.0012894198298454285,1.0,0.795,0.06256657093763351,small_U-shaped
gaussian_medium,sdedit_t2,2,,,0.06081181392073631,0.06799358129501343,0.2536846995353699,0.020198287442326546,0.045498352497816086,0.09231103956699371,-0.0017547570168972015,1.0,0.765,0.06256657093763351,small_U-shaped
gaussian_medium,sdedit_t3,3,,,0.0609506219625473,0.06825628876686096,0.2497715950012207,0.02491644024848938,0.0460963174700737,0.09075130522251129,-0.0016159489750862122,1.0,0.7,0.06256657093763351,small_U-shaped
drift_medium,sdedit_t1,1,,,0.018343420699238777,0.02058417536318302,0.17702539265155792,0.004092177841812372,0.012992624193429947,0.029560169205069542,0.000695396214723587,1.0,0.445,0.01764802448451519,monotonic_worse
drift_medium,sdedit_t2,2,,,0.01948578655719757,0.021828679367899895,0.17675167322158813,0.005747945513576269,0.01473530288785696,0.029837284237146378,0.0018377620726823807,1.0,0.35,0.01764802448451519,monotonic_worse
drift_medium,sdedit_t3,3,,,0.020810198038816452,0.023319216445088387,0.17643028497695923,0.007394797168672085,0.01639685407280922,0.030663419514894485,0.003162173554301262,1.0,0.335,0.01764802448451519,monotonic_worse
burst_medium,sdedit_t1,1,,,0.07804496586322784,0.15452176332473755,0.43931785225868225,0.014317197725176811,0.017105525359511375,0.17239515483379364,0.0032895058393478394,1.0,0.35,0.07475546002388,monotonic_worse
burst_medium,sdedit_t2,2,,,0.08275182545185089,0.1536220908164978,0.4334593117237091,0.023808041587471962,0.024491585791110992,0.17251244187355042,0.007996365427970886,1.0,0.25,0.07475546002388,monotonic_worse
burst_medium,sdedit_t3,3,,,0.08835066109895706,0.1536613404750824,0.42724746465682983,0.03349947929382324,0.032961126416921616,0.17342381179332733,0.013595201075077057,1.0,0.185,0.07475546002388,monotonic_worse
bias_medium,sdedit_t1,1,,,0.18905708193778992,0.1890958845615387,0.17670468986034393,0.042234715074300766,0.1339758038520813,0.2881476879119873,6.145238876342773e-05,1.0,0.475,0.1889956295490265,monotonic_worse
bias_medium,sdedit_t2,2,,,0.18927665054798126,0.18936748802661896,0.17647776007652283,0.04237551614642143,0.13426028192043304,0.2882859706878662,0.00028102099895477295,1.0,0.47,0.1889956295490265,monotonic_worse
bias_medium,sdedit_t3,3,,,0.18932950496673584,0.18949192762374878,0.1761949509382248,0.0421929806470871,0.13447411358356476,0.28814297914505005,0.0003338754177093506,1.0,0.48,0.1889956295490265,monotonic_worse
jump_medium,sdedit_t1,1,,,0.2600577473640442,0.299089252948761,0.3219442367553711,0.004125571809709072,0.28006839752197266,0.4234866201877594,-0.003310680389404297,1.0,0.72,0.2633684277534485,monotonic_better
jump_medium,sdedit_t2,2,,,0.25718310475349426,0.2951970398426056,0.3178842067718506,0.006666657514870167,0.27602070569992065,0.41809144616127014,-0.006185322999954224,1.0,0.74,0.2633684277534485,monotonic_better
jump_medium,sdedit_t3,3,,,0.2542140483856201,0.2913758158683777,0.31349921226501465,0.0088640246540308,0.2720397114753723,0.4125837981700897,-0.00915437936782837,1.0,0.755,0.2633684277534485,monotonic_better
combined_medium,sdedit_t1,1,,,0.19891712069511414,0.20484162867069244,0.257269024848938,0.04686868563294411,0.15049108862876892,0.3044860064983368,-0.00014664232730865479,1.0,0.495,0.1990637630224228,tiny-t_only_improvement
combined_medium,sdedit_t2,2,,,0.19896553456783295,0.20466484129428864,0.2538205087184906,0.04904219135642052,0.15091124176979065,0.30353283882141113,-9.822845458984375e-05,1.0,0.515,0.1990637630224228,tiny-t_only_improvement
combined_medium,sdedit_t3,3,,,0.19919940829277039,0.204695925116539,0.24990808963775635,0.05196193605661392,0.15143920481204987,0.3027738332748413,0.00013564527034759521,1.0,0.495,0.1990637630224228,tiny-t_only_improvement
