condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,sdedit_t1,1,,,high,334,0.016203591600060463,0.007942639291286469,0.015264619141817093,0.0014806638937443495,0.04559428244829178,0.010221505537629128,0.02055021934211254
gaussian_medium,sdedit_t1,1,,,mid,2177,0.04571187123656273,0.014640068635344505,0.04597523435950279,0.002432446228340268,0.09099987894296646,0.03428550437092781,0.05687994137406349
gaussian_medium,sdedit_t1,1,,,low,1489,0.09414496272802353,0.021485932171344757,0.08974673599004745,0.049872830510139465,0.18476271629333496,0.07845272123813629,0.10575428605079651
gaussian_medium,sdedit_t2,2,,,high,334,0.020198287442326546,0.01204946544021368,0.017613675445318222,0.001224372535943985,0.06609774380922318,0.011620946228504181,0.026481347158551216
gaussian_medium,sdedit_t2,2,,,mid,2177,0.045498352497816086,0.016706347465515137,0.04533016309142113,0.0019911201670765877,0.11366374045610428,0.03367622196674347,0.05668894946575165
gaussian_medium,sdedit_t2,2,,,low,1489,0.09231103956699371,0.023541035130620003,0.08830960839986801,0.03302328661084175,0.18476271629333496,0.0754414051771164,0.10531224310398102
gaussian_medium,sdedit_t3,3,,,high,334,0.02491644024848938,0.017083289101719856,0.02075507864356041,0.0013999893562868237,0.08468251675367355,0.012849157676100731,0.033119283616542816
gaussian_medium,sdedit_t3,3,,,mid,2177,0.0460963174700737,0.01939319260418415,0.04503664746880531,0.0016216037329286337,0.13872836530208588,0.03268113732337952,0.05768657103180885
gaussian_medium,sdedit_t3,3,,,low,1489,0.09075130522251129,0.02652677334845066,0.08699510246515274,0.011433257721364498,0.1926320344209671,0.07248309999704361,0.10581858456134796
drift_medium,sdedit_t1,1,,,high,581,0.004092177841812372,0.004101181402802467,0.0036816345527768135,0.0,0.0197251308709383,0.0,0.0065720174461603165
drift_medium,sdedit_t1,1,,,mid,1815,0.012992624193429947,0.006010120268911123,0.0123228644952178,0.0005593520472757518,0.042630504816770554,0.008539408445358276,0.01672467589378357
drift_medium,sdedit_t1,1,,,low,1604,0.029560169205069542,0.010658363811671734,0.027943067252635956,0.002654803218320012,0.06899503618478775,0.02207600697875023,0.03526929020881653
drift_medium,sdedit_t2,2,,,high,581,0.005747945513576269,0.006292267236858606,0.004400996025651693,0.0,0.036202091723680496,0.0,0.009166319854557514
