condition,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,max_x_after_max_abs,ADE,acceleration_RMS
drift_medium,0.3,42,0,True,,none,1.2710056346360218e+17,22.87783171566643,1.216604247425024e+16,1.3348598368436224e+16,99183193227264.0
drift_medium,0.3,42,1,True,,none,9671789609222144.0,21.835215619587004,783546654392320.0,1014928555114496.0,7482943471616.0
drift_medium,0.3,42,2,True,,none,1630315361599488.0,24.04145027299106,137096790540288.0,171179008589824.0,1262846607360.0
drift_medium,1.0,42,0,False,13.0,likelihood_loss,6.575519888507404e+18,30.014488831542025,2.488522468122165e+18,,
drift_medium,1.0,42,1,False,11.0,likelihood_loss,inf,38.85659392852741,1.0128886932537606e+19,,
drift_medium,1.0,42,2,False,10.0,likelihood_loss,1.1928013411020964e+18,38.092016703276805,4.269444195145482e+17,,
drift_medium,3.0,42,0,False,50.0,likelihood_loss,9.345096357825741e+17,119.45942532854825,1.2425231810554757e+18,,
drift_medium,3.0,42,1,False,25.0,likelihood_loss,4.287230307553247e+18,32.638421990459705,6.078803965787505e+18,,
drift_medium,3.0,42,2,False,79.0,likelihood_loss,3.9068510301087334e+17,699.7728984135999,4.6332447613884826e+17,,
burst_medium,0.3,42,0,True,,none,1.653548829991397e+19,25.062593893270236,1.5569452985703465e+18,1.7405351531066163e+18,1.281459327336448e+16
burst_medium,0.3,42,1,True,,none,6.477684794112082e+17,24.289621588860278,5.057997871408742e+16,6.81335401176105e+16,492383271649280.0
burst_medium,0.3,42,2,False,2.0,likelihood_loss,4.69245009528986e+18,23.214363557668957,4.043346808762532e+17,,
burst_medium,1.0,42,0,False,15.0,likelihood_loss,1.5419144248628347e+19,29.56139575019412,5.724517130062266e+18,,
burst_medium,1.0,42,1,False,14.0,likelihood_loss,inf,35.564377027345024,8.345777589691875e+18,,
burst_medium,1.0,42,2,False,17.0,likelihood_loss,1.2141694699786207e+19,31.99032613994721,5.157299972013556e+18,,
burst_medium,3.0,42,0,False,90.0,likelihood_loss,4.139726905676923e+17,1035.932755474718,4.421869492104069e+17,,
burst_medium,3.0,42,1,False,75.0,likelihood_loss,1.1171180387521004e+18,678.9111367357258,1.424412365981483e+18,,
burst_medium,3.0,42,2,False,91.0,likelihood_loss,inf,1497.9060691933805,2.867296967114254e+19,,
gaussian_medium,0.3,42,0,True,,none,3.659026538046685e+18,25.543905209933595,2.6222489893024563e+17,3.854565472636764e+17,2838440538275840.0
gaussian_medium,0.3,42,1,True,,none,2.320554680951767e+17,24.23502184301419,2.070132360740864e+16,2.4462207425183744e+16,175612622798848.0
gaussian_medium,0.3,42,2,True,,none,1.3303599996076032e+16,25.428957167330022,887746319089664.0,1401941213052928.0,10256324231168.0
gaussian_medium,1.0,42,0,False,16.0,likelihood_loss,1.4229399824729375e+18,34.45280164007067,4.8807379568531866e+17,,
gaussian_medium,1.0,42,1,False,11.0,likelihood_loss,1.4462798655515525e+18,36.33764943603191,5.1909892144470426e+17,,
gaussian_medium,1.0,42,2,False,10.0,likelihood_loss,1.5442479183904637e+19,40.53804170273824,5.844068128861979e+18,,
gaussian_medium,3.0,42,0,False,90.0,likelihood_loss,2.7437933339638497e+18,1159.9429258906118,3.004689301293236e+18,,
gaussian_medium,3.0,42,1,False,39.0,likelihood_loss,2.6979233581204767e+18,63.93278712076909,4.189689607396262e+18,,
gaussian_medium,3.0,42,2,False,79.0,likelihood_loss,2.761604047944286e+18,809.4434658076875,4.0283324277294367e+18,,
bias_medium,0.3,42,0,True,,none,4.0624335059870024e+18,24.442908777672496,3.765035676760801e+17,4.264512541897523e+17,3119175706869760.0
bias_medium,0.3,42,1,True,,none,5.307581771053793e+18,26.995382106679177,4.685780457755771e+17,5.6127024325145395e+17,4101383724728320.0
bias_medium,0.3,42,2,True,,none,696830593597440.0,22.927105629102364,58727566671872.0,72985721438208.0,532464402432.0
bias_medium,1.0,42,0,False,14.0,likelihood_loss,inf,25.722066430925253,1.0119290395050377e+19,,
bias_medium,1.0,42,1,False,14.0,likelihood_loss,inf,36.666328096098944,8.868797678838874e+18,,
bias_medium,1.0,42,2,False,9.0,likelihood_loss,3.726067885160792e+18,41.369754597657845,1.3263186114757263e+18,,
bias_medium,3.0,42,0,False,90.0,likelihood_loss,5.259807441071112e+18,1041.2862180962973,6.503791598201995e+18,,
bias_medium,3.0,42,1,False,43.0,likelihood_loss,8.252033778063507e+18,96.39943557081396,8.055464738517156e+18,,
bias_medium,3.0,42,2,False,20.0,likelihood_loss,5.150819931515781e+17,58.72911340203463,7.176955635118899e+17,,
