condition,variant,motion_usage_ratio,within_0p2_0p7
gaussian_medium,multit,0.498083703728735,True
gaussian_medium,t1,0.4081949209570538,True
gaussian_medium,t2,0.4090487034493618,True
gaussian_medium,t3,0.4101336825650125,True
drift_medium,multit,0.5674046423576428,True
drift_medium,t1,0.4763104726912437,True
drift_medium,t2,0.4782617961908088,True
drift_medium,t3,0.4787765259750288,True
burst_medium,multit,0.6172124192084925,True
burst_medium,t1,0.4815587400568255,True
burst_medium,t2,0.4829467164128146,True
burst_medium,t3,0.4842801348865709,True
bias_medium,multit,0.48509044608533,True
bias_medium,t1,0.4034873614805482,True
bias_medium,t2,0.4039889511544128,True
bias_medium,t3,0.4026882710063585,True
jump_medium,multit,0.5003263723181428,True
jump_medium,t1,0.4366396308987689,True
jump_medium,t2,0.4390625645664883,True
jump_medium,t3,0.4406022391101288,True
combined_medium,multit,0.4883184289550787,True
combined_medium,t1,0.3998209869003738,True
combined_medium,t2,0.3996181756052407,True
combined_medium,t3,0.3983423398602418,True
