geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,output_path,evaluated_windows,off_map_ratio,boundary_violation_count,internal_wall_crossing_count,door_valid_crossing_count,door_crossing_valid_ratio,infeasible_transition_count,window_violation_count,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_count,masked_segment_count,masked_infeasible_transition_rate,total_points,total_segments
canonical_room3_wall_door_v1,phase1_baseline,span10_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span10_fixed_seed42/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,30014,1.1661224761777838e-05,7,5056,4957,0.9804193037974683,111,87,0.002898647297927634,0.00019464600730185563,0.003698274138735257,60,90042,0.0006663557006730193,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span10_fixed_seed42,,,linear_interp,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span10_fixed_seed42/linear_interp/results.npz,30014,0.0,0,4967,4967,1.0,0,0,0.0,0.0,0.0,0,90042,0.0,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span10_fixed_seed42,,,savgol_w5_p2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span10_fixed_seed42/savgol_w5_p2/results.npz,30014,3.3317785033650963e-06,2,4978,4963,0.9969867416633186,17,12,0.00039981342040381154,2.981064976695086e-05,0.0005664023455720663,1,90042,1.1105928344550321e-05,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_fixed_seed42,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_fixed_seed42/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,30014,7.496501632571466e-05,45,5281,5024,0.9513349744366597,324,200,0.006663557006730192,0.0005681559132054164,0.010794962350902913,279,150070,0.0018591324048777237,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_fixed_seed42,,,linear_interp,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_fixed_seed42/linear_interp/results.npz,30014,0.0,0,4967,4962,0.9989933561505939,5,5,0.00016658892516825482,8.767838166750253e-06,0.00016658892516825482,5,150070,3.3317785033650966e-05,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_fixed_seed42,,,savgol_w5_p2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_fixed_seed42/savgol_w5_p2/results.npz,30014,3.3317785033650963e-06,2,4978,4959,0.9961832061068703,21,16,0.0005330845605384155,3.682492030035106e-05,0.0006996734857066702,5,150070,3.3317785033650966e-05,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_random_seed0,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed0/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,30014,5.664023455720664e-05,34,5263,5007,0.9513585407562227,308,194,0.006463650296528287,0.0005400988310718156,0.010261877790364497,264,150070,0.0017591790497767709,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_random_seed0,,,linear_interp,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed0/linear_interp/results.npz,30014,0.0,0,4967,4961,0.9987920273807127,6,6,0.00019990671020190577,1.0521405800100304e-05,0.00019990671020190577,6,150070,3.9981342040381155e-05,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_random_seed0,,,savgol_w5_p2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed0/savgol_w5_p2/results.npz,30014,3.3317785033650963e-06,2,4977,4957,0.9959815149688568,22,17,0.0005664023455720663,3.8578487933701116e-05,0.0007329912707403212,6,150070,3.9981342040381155e-05,600280,570266
canonical_room3_wall_door_v1,phase1_baseline,span20_random_seed1,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,/Users/shangshanchong/Desktop/pytorch_env_check/trajectory_ddpm_mvp/SingularTrajectory/outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed1/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,30014,5.164256680215899e-05,31,5245,4995,0.9523355576739753,300,188,0.006263743586326381,0.0005260702900050152,0.009995335510095288,256,150070,0.0017058705937229293,600280,570266
