method,seed,span_ratio,span_mode,ADE,FDE,RMSE,masked_ADE,masked_RMSE,off_map_ratio,wall_crossing_count
linear_interp,0,0.2,random,0.0017366748070344329,0.0,0.004114554729312658,0.008683373220264912,0.009200424887239933,0.0,0
savgol_w5_p2,0,0.2,random,0.002519299043342471,0.0006980180623941123,0.00416909484192729,0.008381183259189129,0.00896652601659298,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,0,0.2,random,0.009317202493548393,0.006371811032295227,0.014760549180209637,0.02784496173262596,0.031237870454788208,4.989881628919136e-05,0
linear_interp,1,0.2,random,0.001711961580440402,0.0,0.004084345418959856,0.008559809997677803,0.009132873266935349,0.0,0
savgol_w5_p2,1,0.2,random,0.002497964771464467,0.0006987095111981034,0.004140626173466444,0.008259910158813,0.008896267041563988,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,1,0.2,random,0.00927954912185669,0.006385208107531071,0.01465800404548645,0.027600625529885292,0.030987052246928215,4.43545033681701e-05,0
linear_interp,2,0.2,random,0.0017272294498980045,0.0,0.0041117738001048565,0.008636146783828735,0.00919420551508665,0.0,0
savgol_w5_p2,2,0.2,random,0.0025120580103248358,0.0007022169884294271,0.004166618455201387,0.00833307858556509,0.008956651203334332,1.3860782302553156e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,2,0.2,random,0.009316261857748032,0.0063815247267484665,0.014712142758071423,0.027823105454444885,0.0311207864433527,5.682920744046794e-05,0
linear_interp,3,0.2,random,0.0017221557209268212,0.0,0.004091533832252026,0.008610779419541359,0.009148948825895786,0.0,0
savgol_w5_p2,3,0.2,random,0.0025066453963518143,0.0007007691310718656,0.004147364757955074,0.008309615775942802,0.008912204764783382,2.772156460510631e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,3,0.2,random,0.00930777657777071,0.006380394566804171,0.014693232253193855,0.027770545333623886,0.03107307478785515,4.574058159842542e-05,0
linear_interp,4,0.2,random,0.0017281657783314586,0.0,0.004123181104660034,0.008640826679766178,0.009219711646437645,0.0,0
savgol_w5_p2,4,0.2,random,0.0025125097017735243,0.0006997819873504341,0.004177775699645281,0.00833993311971426,0.008985004387795925,1.3860782302553156e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,4,0.2,random,0.00930534303188324,0.00636539189144969,0.014698113314807415,0.027773482725024223,0.031087582930922508,6.23735203614892e-05,0
linear_interp,5,0.2,random,0.0017052985494956374,0.0,0.004077019635587931,0.008526494726538658,0.009116491302847862,0.0,0
savgol_w5_p2,5,0.2,random,0.0024914240930229425,0.00070190493715927,0.004134518560022116,0.008228161372244358,0.008882638067007065,1.3860782302553156e-06,0
kalman_cv_dt1.0_q1e-3_r1e-2,5,0.2,random,0.009341157972812653,0.006377916783094406,0.014815032482147217,0.027936697006225586,0.03136380389332771,4.019626867740415e-05,0
linear_interp,6,0.2,random,0.0017189797945320606,0.0,0.0040901340544223785,0.00859489943832159,0.009145820513367653,0.0,0
