span_ratio,span_mode,method,metric,mean,std,min,max
0.2,random,linear_interp,ADE,0.001721140102017671,7.617047447121166e-06,0.0017052985494956374,0.0017366748070344329
0.2,random,linear_interp,FDE,0.0,0.0,0.0,0.0
0.2,random,linear_interp,RMSE,0.004099055984988808,1.6224423757229592e-05,0.004068762995302677,0.004126803483814001
0.2,random,linear_interp,masked_ADE,0.008605700312182307,3.8084980618981866e-05,0.008526494726538658,0.008683373220264912
0.2,random,linear_interp,masked_RMSE,0.009165768092498184,3.6278708502139424e-05,0.009098032489418983,0.009227813221514225
0.2,random,linear_interp,off_map_ratio,0.0,0.0,0.0,0.0
0.2,random,linear_interp,wall_crossing_count,0.0,0.0,0.0,0.0
0.2,random,savgol_w5_p2,ADE,0.002506086404900998,7.26547273631313e-06,0.0024914240930229425,0.002519299043342471
0.2,random,savgol_w5_p2,FDE,0.0007002387807006017,2.163725731947296e-06,0.0006962007028050721,0.0007035559392534196
0.2,random,savgol_w5_p2,RMSE,0.004154900182038545,1.529046885926274e-05,0.004126439802348614,0.004180775489658117
0.2,random,savgol_w5_p2,masked_ADE,0.008304577926173807,3.711486450915134e-05,0.008228161372244358,0.008381183259189129
0.2,random,savgol_w5_p2,masked_RMSE,0.008930569887161255,3.565085204805046e-05,0.008865936659276485,0.0089903324842453
0.2,random,savgol_w5_p2,off_map_ratio,2.3563329914340363e-06,6.351808409275413e-07,1.3860782302553156e-06,2.772156460510631e-06
0.2,random,savgol_w5_p2,wall_crossing_count,0.0,0.0,0.0,0.0
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,ADE,0.009313462860882282,1.8079529716789412e-05,0.00927954912185669,0.009341157972812653
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,FDE,0.00637602019123733,6.050682028672471e-06,0.006365061737596989,0.006385293789207935
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,RMSE,0.014720386313274502,6.6988400063555e-05,0.014580913819372654,0.014845788478851318
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,masked_ADE,0.027808810211718084,9.862755172947499e-05,0.027600625529885292,0.02796134166419506
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,masked_RMSE,0.03113917652517557,0.00016056635073803736,0.030804511159658432,0.03144300356507301
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,off_map_ratio,5.419565880298284e-05,1.0334419331000299e-05,3.0493721065616942e-05,7.484822443378704e-05
0.2,random,kalman_cv_dt1.0_q1e-3_r1e-2,wall_crossing_count,0.0,0.0,0.0,0.0
