degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,0,noisy_input,0.05268967151641846,0.25759485363960266,0.05268967151641846,0.25759485363960266,0.0,0.0,0,0
gaussian_medium,relative_observable,1,noisy_input,0.06313766539096832,0.21430154144763947,0.06313766539096832,0.21430154144763947,0.0,0.0,0,0
gaussian_medium,relative_observable,2,noisy_input,0.051779210567474365,0.4836506247520447,0.051779210567474365,0.4836506247520447,0.0,0.0,0,0
gaussian_medium,relative_observable,3,noisy_input,0.05588671565055847,0.15313297510147095,0.05588671565055847,0.15313297510147095,0.0,0.0,0,0
gaussian_medium,relative_observable,4,noisy_input,0.05658530071377754,0.1726716309785843,0.05658530071377754,0.1726716309785843,0.0,0.0,0,0
gaussian_medium,relative_observable,5,noisy_input,0.06796588748693466,0.16809971630573273,0.06796588748693466,0.16809971630573273,0.0,0.0,0,0
gaussian_medium,relative_observable,6,noisy_input,0.056925155222415924,0.46997445821762085,0.056925155222415924,0.46997445821762085,0.0,0.0,0,0
gaussian_medium,relative_observable,7,noisy_input,0.06172262877225876,0.2411469668149948,0.06172262877225876,0.2411469668149948,0.0,0.0,0,0
gaussian_medium,relative_observable,8,noisy_input,0.06060759350657463,0.19851376116275787,0.06060759350657463,0.19851376116275787,0.0,0.0,0,0
gaussian_medium,relative_observable,9,noisy_input,0.0659550279378891,0.19999346137046814,0.0659550279378891,0.19999346137046814,0.0,0.0,0,0
gaussian_medium,relative_observable,10,noisy_input,0.05687336251139641,0.16831055283546448,0.05687336251139641,0.16831055283546448,0.0,0.0,0,0
gaussian_medium,relative_observable,11,noisy_input,0.06904856115579605,0.4834783971309662,0.06904856115579605,0.4834783971309662,0.0,0.0,0,0
gaussian_medium,relative_observable,12,noisy_input,0.06322519481182098,0.44773557782173157,0.06322519481182098,0.44773557782173157,0.0,0.0,0,0
gaussian_medium,relative_observable,13,noisy_input,0.07754329591989517,0.1705045998096466,0.07754329591989517,0.1705045998096466,0.0,0.0,0,0
gaussian_medium,relative_observable,14,noisy_input,0.0635475218296051,0.17696505784988403,0.0635475218296051,0.17696505784988403,0.0,0.0,0,0
gaussian_medium,relative_observable,15,noisy_input,0.06149406358599663,0.19606755673885345,0.06149406358599663,0.19606755673885345,0.0,0.0,0,0
gaussian_medium,relative_observable,16,noisy_input,0.0525021068751812,0.18295051157474518,0.0525021068751812,0.18295051157474518,0.0,0.0,0,0
gaussian_medium,relative_observable,17,noisy_input,0.06533661484718323,0.1858934462070465,0.06533661484718323,0.1858934462070465,0.0,0.0,0,0
gaussian_medium,relative_observable,18,noisy_input,0.06372842937707901,0.24260497093200684,0.06372842937707901,0.24260497093200684,0.0,0.0,0,0
gaussian_medium,relative_observable,19,noisy_input,0.06326358020305634,0.5803443789482117,0.06326358020305634,0.5803443789482117,0.0,0.0,0,0
gaussian_medium,relative_observable,20,noisy_input,0.05830741673707962,0.1485026627779007,0.05830741673707962,0.1485026627779007,0.0,0.0,0,0
