epoch,train_loss,val_loss_ema
1,0.38215228,0.97435316
2,0.24821647,0.70740351
3,0.22234245,0.54426777
4,0.20348851,0.44074243
5,0.19372110,0.36958208
6,0.18462917,0.31630417
7,0.17874983,0.27503214
8,0.17615578,0.24313477
9,0.17247001,0.21897771
10,0.17112270,0.20103535
11,0.16786151,0.18767933
12,0.16284349,0.17784996
13,0.16185226,0.17052545
14,0.16123739,0.16498337
15,0.16107077,0.16069871
16,0.16180082,0.15738252
17,0.15860445,0.15476733
18,0.15829207,0.15259134
19,0.15586713,0.15075948
20,0.15569697,0.14926414
21,0.15562866,0.14789154
22,0.15414625,0.14667170
23,0.15413141,0.14559380
24,0.15365033,0.14470975
25,0.15216681,0.14395546
26,0.15274333,0.14326215
27,0.15029117,0.14260840
28,0.14985509,0.14207796
29,0.15017057,0.14147128
30,0.14935659,0.14098605
31,0.15012628,0.14050631
32,0.14867539,0.14004163
33,0.15068796,0.13963370
34,0.14846241,0.13917248
35,0.14884748,0.13874905
36,0.14848710,0.13834723
37,0.14593409,0.13800954
38,0.14633998,0.13767948
39,0.14902378,0.13744498
40,0.14561109,0.13720214
41,0.14712191,0.13702134
42,0.14542298,0.13681573
43,0.14586198,0.13659286
44,0.14693795,0.13637041
45,0.14427844,0.13614811
46,0.14538275,0.13589084
47,0.14393258,0.13572177
48,0.14442575,0.13550857
49,0.14518141,0.13537059
50,0.14460370,0.13513354
51,0.14573547,0.13491959
52,0.14349051,0.13478754
53,0.14441916,0.13460206
54,0.14395846,0.13448134
55,0.14401850,0.13429477
56,0.14339021,0.13411848
57,0.14328871,0.13402573
58,0.14365637,0.13390806
59,0.14261539,0.13376465
60,0.14363583,0.13365468
