epoch,train_loss,val_loss
1,0.71193101,0.63258750
2,0.60369552,0.57349167
3,0.54483189,0.50627059
4,0.48805526,0.46954645
5,0.46103039,0.45492538
6,0.44378614,0.43233812
7,0.43426530,0.42288627
8,0.41594129,0.41816469
9,0.40753461,0.41137933
10,0.39710270,0.39510352
11,0.38714055,0.38435626
12,0.38215837,0.38240426
13,0.37676838,0.37565705
14,0.37221500,0.37198231
15,0.36948244,0.36766377
16,0.37087633,0.36462750
17,0.36355387,0.35989041
18,0.36051274,0.37427276
19,0.36255169,0.36156382
20,0.35640262,0.36204932
21,0.35577982,0.35890020
22,0.35692545,0.35648791
23,0.35139392,0.34767595
24,0.34821876,0.35245622
25,0.34844630,0.35056995
26,0.34919910,0.34681319
27,0.34785472,0.34784124
28,0.34367950,0.34246391
29,0.34572024,0.34848727
30,0.34602035,0.35667039
31,0.34685089,0.34514266
32,0.34404282,0.33550381
33,0.34242783,0.34752933
34,0.33637522,0.34169462
35,0.33834536,0.34360594
36,0.34028565,0.33883195
37,0.33964139,0.33934241
38,0.33479457,0.33917140
39,0.33445893,0.33486748
40,0.33724069,0.33577552
41,0.33386962,0.33520756
42,0.33950431,0.33558538
43,0.33407953,0.33251375
44,0.33250568,0.33744427
45,0.32985107,0.33531932
46,0.33533879,0.33457710
47,0.33162143,0.32325765
48,0.33407355,0.33038049
49,0.33207806,0.33657486
50,0.33342976,0.34096297
51,0.33175826,0.33316105
52,0.33071118,0.33236271
53,0.33004596,0.32361065
54,0.32951970,0.34300483
55,0.32776272,0.32775359
56,0.32887178,0.33197168
57,0.32933188,0.33631501
58,0.32849543,0.32973312
59,0.32532716,0.32700622
60,0.32804887,0.32662959
61,0.32945342,0.33219555
62,0.32873417,0.32698324
63,0.32311319,0.32394951
64,0.32694674,0.31976083
65,0.32487770,0.32818807
66,0.32565131,0.32515549
67,0.32241505,0.32112386
68,0.32581336,0.32099821
69,0.32199659,0.32844559
70,0.32279103,0.31895489
71,0.32440283,0.32856136
72,0.32528347,0.32951826
73,0.32348991,0.32397881
74,0.32235972,0.31781737
75,0.32211460,0.32353882
76,0.32621669,0.31880705
77,0.32002105,0.32947204
78,0.32504415,0.33841352
79,0.32581093,0.32557157
80,0.32061358,0.32509719
81,0.32042727,0.32490795
82,0.31885276,0.33074340
83,0.32002346,0.33049755
84,0.31720051,0.31746536
85,0.32185052,0.31934270
86,0.32049977,0.32631900
87,0.32336572,0.31837160
88,0.32007195,0.32183367
89,0.31996885,0.31960131
90,0.32289040,0.32451128
91,0.31897186,0.31946606
92,0.31590565,0.31937629
93,0.31851541,0.32821747
94,0.31932583,0.31420129
95,0.31907904,0.32955536
96,0.31883438,0.33119785
97,0.31471482,0.32129760
98,0.31898334,0.31878765
99,0.31694427,0.32260417
100,0.31770287,0.31934571
