epoch,train_loss,val_loss_ema
1,0.55463059,1.09482225
2,0.40361626,0.83913947
3,0.36701335,0.68914904
4,0.34606353,0.58590739
5,0.33559573,0.50916281
6,0.32561988,0.45014389
7,0.31856285,0.40588947
8,0.31386100,0.37329003
9,0.30765025,0.34923720
10,0.30643958,0.33151658
11,0.30228145,0.31835236
12,0.30027878,0.30873534
13,0.29890571,0.30140798
14,0.29650431,0.29586259
15,0.29489391,0.29151894
16,0.29315531,0.28806990
17,0.29373157,0.28539442
18,0.29157856,0.28318722
19,0.28968367,0.28134689
20,0.29018450,0.27976510
21,0.28742983,0.27843496
22,0.28622865,0.27732378
23,0.28913592,0.27647017
24,0.28697458,0.27560374
25,0.28601331,0.27470972
26,0.28740669,0.27402167
27,0.28361780,0.27338731
28,0.28434656,0.27273118
29,0.28228428,0.27201148
30,0.28314413,0.27128727
31,0.28179506,0.27063951
32,0.28319257,0.27001628
33,0.28141783,0.26948609
34,0.27899976,0.26895617
35,0.28028845,0.26859351
36,0.27882396,0.26817196
37,0.27948534,0.26772231
38,0.27899307,0.26738964
39,0.28064853,0.26699862
40,0.27861010,0.26670847
41,0.27956038,0.26637450
42,0.27936153,0.26606963
43,0.27823133,0.26568315
44,0.27837523,0.26533689
45,0.27712759,0.26498805
46,0.27761942,0.26465498
47,0.27757949,0.26431038
48,0.27670231,0.26406738
49,0.27803764,0.26382980
50,0.27609438,0.26352697
51,0.27514303,0.26328366
52,0.27605503,0.26301490
53,0.27572080,0.26278217
54,0.27533747,0.26255392
55,0.27373747,0.26224748
56,0.27593699,0.26197852
57,0.27456677,0.26185548
58,0.27472297,0.26154091
59,0.27431531,0.26134225
60,0.27408476,0.26114754
