degradation,method,t_start,N,ADE_mean,ADE_std,smooth_mean,ADE_vs_noisy_percent,wilcoxon_p_vs_noisy
gaussian_medium,noisy_input,-1,100,0.06087275594472885,0.0073324949480593204,0.22654390335083008,0.0,nan
gaussian_medium,sdedit_t1,1,100,0.059780433773994446,0.0074893333949148655,0.22228401899337769,1.7944352178275131,2.6308418910048204e-07
gaussian_medium,sdedit_t2,2,100,0.05949585512280464,0.00809174682945013,0.2184758335351944,2.2619327818415282,3.9535752875963226e-05
gaussian_medium,sdedit_t3,3,100,0.06001388654112816,0.009510761126875877,0.21425457298755646,1.4109257750388822,0.007602537516504526
gaussian_medium,sdedit_t5,5,100,0.06215456873178482,0.014310014434158802,0.20526687800884247,-2.105724912832643,0.25678732991218567
burst_medium,noisy_input,-1,100,0.07562985271215439,0.02117576263844967,0.3160555064678192,0.0,nan
burst_medium,sdedit_t1,1,100,0.07868998497724533,0.021674199029803276,0.31120046973228455,-4.04619625101974,1.0
burst_medium,sdedit_t2,2,100,0.0828046128153801,0.023014802485704422,0.3074846565723419,-9.486677344900688,1.0
burst_medium,sdedit_t3,3,100,0.08836401998996735,0.02524588815867901,0.30354565382003784,-16.83748787172564,1.0
burst_medium,sdedit_t5,5,100,0.09967397898435593,0.030969493091106415,0.2955376207828522,-31.7918459575916,1.0
