method,degradation,curve_group,ADE_mean,ADE_std,ADE_median,ADE_p25,ADE_p75,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,smooth_mean,smooth_std,smooth_median,smooth_p25,smooth_p75,n_traj,n_seed
noisy_input,gaussian_medium,low_curve,0.14673852920532227,0.016876449808478355,0.14620117843151093,0.1352235972881317,0.15755823254585266,0.16468103229999542,0.018239689990878105,0.16447485983371735,0.15150579810142517,0.17706239223480225,0.36399632692337036,0.06554960459470749,0.35825443267822266,0.3178335428237915,0.4070446193218231,333,1
noisy_input,gaussian_medium,mid_curve,0.14617131650447845,0.01581260748207569,0.14622017741203308,0.1353248804807663,0.15766137838363647,0.16440144181251526,0.017348190769553185,0.1638183295726776,0.15314212441444397,0.17572376132011414,0.37092703580856323,0.05534850433468819,0.36738499999046326,0.3313378393650055,0.4132091999053955,334,1
noisy_input,gaussian_medium,high_curve,0.14748390018939972,0.015794407576322556,0.14713303744792938,0.1378832906484604,0.15757706761360168,0.1656867414712906,0.016802405938506126,0.16516171395778656,0.15526902675628662,0.176164448261261,0.3820684254169464,0.05672755464911461,0.3829103410243988,0.34102508425712585,0.4227132797241211,333,1
kalman_cv,gaussian_medium,low_curve,0.08659964799880981,0.02055933140218258,0.08585044741630554,0.07255567610263824,0.10093589872121811,0.0996781513094902,0.0230999905616045,0.09907425940036774,0.08251937478780746,0.11474324017763138,0.019990842789411545,0.00675699207931757,0.02070751041173935,0.015090473927557468,0.02454289048910141,333,1
kalman_cv,gaussian_medium,mid_curve,0.12226708978414536,0.023805823177099228,0.12259723246097565,0.10478326678276062,0.13904887437820435,0.14080719649791718,0.02613498456776142,0.1400449126958847,0.12162001430988312,0.1589645892381668,0.02657494507730007,0.00660865381360054,0.026374513283371925,0.02131563052535057,0.031171079725027084,334,1
kalman_cv,gaussian_medium,high_curve,0.162062868475914,0.031023450195789337,0.16101190447807312,0.14065919816493988,0.18268917500972748,0.18540534377098083,0.03409011662006378,0.18493770062923431,0.1617318093776703,0.20523248612880707,0.03017067350447178,0.007310233078896999,0.030116774141788483,0.025285683572292328,0.03556748479604721,333,1
ddpm_eth_sdedit,gaussian_medium,low_curve,1.992521047592163,0.5171996355056763,1.9131580591201782,1.6307590007781982,2.311633586883545,2.2847673892974854,0.5943931341171265,2.1919519901275635,1.867700219154358,2.6901493072509766,0.04086792469024658,0.007164603564888239,0.040895942598581314,0.03649287670850754,0.04515115171670914,333,5
ddpm_eth_sdedit,gaussian_medium,mid_curve,2.035208225250244,0.49857547879219055,2.013813018798828,1.6901171207427979,2.3611700534820557,2.3272972106933594,0.5680359601974487,2.3237717151641846,1.9195003509521484,2.6899352073669434,0.04067821428179741,0.006647480186074972,0.0402851477265358,0.0357845276594162,0.04532166197896004,334,5
ddpm_eth_sdedit,gaussian_medium,high_curve,1.926886796951294,0.4653404951095581,1.8730714321136475,1.5951493978500366,2.22951078414917,2.203423500061035,0.5312240123748779,2.1565515995025635,1.807827353477478,2.5260043144226074,0.04044297710061073,0.00681705866008997,0.04024454206228256,0.03621909022331238,0.044861771166324615,333,5
ddpm_finetuned_sdedit,gaussian_medium,low_curve,1.4772311449050903,0.3291979134082794,1.460982084274292,1.2595912218093872,1.669764757156372,1.662680745124817,0.3681374490261078,1.640920639038086,1.413224220275879,1.8822009563446045,0.06825406104326248,0.012490392662584782,0.06846661865711212,0.05933403968811035,0.07740871608257294,333,5
ddpm_finetuned_sdedit,gaussian_medium,mid_curve,1.4881519079208374,0.3187556564807892,1.4609931707382202,1.2532049417495728,1.6866042613983154,1.6716805696487427,0.34909528493881226,1.6320313215255737,1.4067902565002441,1.8989700078964233,0.06715083122253418,0.012114562094211578,0.06687261909246445,0.0589158721268177,0.07376758009195328,334,5
ddpm_finetuned_sdedit,gaussian_medium,high_curve,1.4131625890731812,0.29564031958580017,1.403207778930664,1.1969871520996094,1.5782060623168945,1.5864551067352295,0.325354665517807,1.5562584400177002,1.3567460775375366,1.7715743780136108,0.068270742893219,0.011875617317855358,0.0679774135351181,0.06040436029434204,0.07615883648395538,333,5
noisy_input,bias_medium,low_curve,0.1523660272359848,0.07846181094646454,0.1449265331029892,0.09499989449977875,0.20387797057628632,0.1523660272359848,0.07846181094646454,0.1449265331029892,0.09499989449977875,0.2038779854774475,0.0340571366250515,0.010735378600656986,0.03479885682463646,0.026193099096417427,0.04318130761384964,333,1
noisy_input,bias_medium,mid_curve,0.16184310615062714,0.07805175334215164,0.15614232420921326,0.10514108836650848,0.2089606523513794,0.16184310615062714,0.07805175334215164,0.15614235401153564,0.10514108836650848,0.2089606523513794,0.06277009099721909,0.00780821917578578,0.06216740980744362,0.055766306817531586,0.06942904740571976,334,1
noisy_input,bias_medium,high_curve,0.14919239282608032,0.07758788764476776,0.14211949706077576,0.09499673545360565,0.20169806480407715,0.14919239282608032,0.07758788764476776,0.14211951196193695,0.09499673545360565,0.20169807970523834,0.10334484279155731,0.021516380831599236,0.09820140898227692,0.08582878857851028,0.11635772138834,333,1
kalman_cv,bias_medium,low_curve,0.16602438688278198,0.0715656727552414,0.15545102953910828,0.11051048338413239,0.20923590660095215,0.17359304428100586,0.07005085051059723,0.16083861887454987,0.11964748054742813,0.2194114774465561,0.018353991210460663,0.006864242255687714,0.019246775656938553,0.013593126088380814,0.023337634280323982,333,1
kalman_cv,bias_medium,mid_curve,0.19394773244857788,0.06662744283676147,0.1854378581047058,0.14465533196926117,0.23341025412082672,0.20925560593605042,0.0652516633272171,0.2028084099292755,0.16128471493721008,0.24362201988697052,0.025596093386411667,0.0065434654243290424,0.025185268372297287,0.02068427950143814,0.030269354581832886,334,1
kalman_cv,bias_medium,high_curve,0.21343643963336945,0.0580153614282608,0.20538029074668884,0.1734626442193985,0.2438976764678955,0.23531800508499146,0.05721826106309891,0.2298799306154251,0.19414734840393066,0.2689177393913269,0.029475649818778038,0.007233678363263607,0.02916942723095417,0.02422230690717697,0.034823644906282425,333,1
ddpm_eth_sdedit,bias_medium,low_curve,0.1835889369249344,0.06973816454410553,0.17014168202877045,0.1296253204345703,0.22651846706867218,0.1894770711660385,0.06835553795099258,0.17608746886253357,0.13560113310813904,0.23188433051109314,0.03849523141980171,0.009995226748287678,0.038993705064058304,0.0319402851164341,0.04588315635919571,333,5
ddpm_eth_sdedit,bias_medium,mid_curve,0.18942397832870483,0.06753674149513245,0.18484698235988617,0.13631510734558105,0.22768306732177734,0.1953854113817215,0.06641165167093277,0.19031637907028198,0.1429947316646576,0.23407919704914093,0.06490767002105713,0.008848912082612514,0.0648920089006424,0.05843736231327057,0.07099292427301407,334,5
ddpm_eth_sdedit,bias_medium,high_curve,0.18316338956356049,0.0668226107954979,0.17168626189231873,0.13052061200141907,0.22657617926597595,0.1897314190864563,0.06528806686401367,0.17779278755187988,0.13929978013038635,0.23135264217853546,0.10347683727741241,0.021249519661068916,0.0994255468249321,0.0867605060338974,0.11814536899328232,333,5
ddpm_finetuned_sdedit,bias_medium,low_curve,0.18127816915512085,0.06975635141134262,0.1691819578409195,0.12771809101104736,0.21941760182380676,0.18672074377536774,0.06831993162631989,0.17387135326862335,0.13481301069259644,0.2242639809846878,0.037972744554281235,0.010503833182156086,0.03857096657156944,0.03051939606666565,0.0465661883354187,333,5
ddpm_finetuned_sdedit,bias_medium,mid_curve,0.18702583014965057,0.06739029288291931,0.17884580790996552,0.13664664328098297,0.22442744672298431,0.1922445297241211,0.06631775200366974,0.18578264117240906,0.14325982332229614,0.22823293507099152,0.06616441905498505,0.008584417402744293,0.06560583412647247,0.059003397822380066,0.07313688844442368,334,5
ddpm_finetuned_sdedit,bias_medium,high_curve,0.18029142916202545,0.06657420098781586,0.17190925776958466,0.12846483290195465,0.221853569149971,0.18622295558452606,0.06498490273952484,0.17739710211753845,0.1376136988401413,0.2260582000017166,0.10713484138250351,0.02191183902323246,0.10260292142629623,0.08889655023813248,0.12155523151159286,333,5
noisy_input,drift_medium,low_curve,0.1553257256746292,0.06080295145511627,0.15155461430549622,0.10703025758266449,0.1919029802083969,0.176269993185997,0.06902600079774857,0.17115560173988342,0.12480519711971283,0.21806184947490692,0.08983208984136581,0.01228963490575552,0.08935701847076416,0.08143923431634903,0.09779538959264755,333,1
noisy_input,drift_medium,mid_curve,0.1515028029680252,0.06214053928852081,0.14346042275428772,0.10834778100252151,0.1873653084039688,0.17147217690944672,0.06923244148492813,0.16054990887641907,0.12283151596784592,0.2114158570766449,0.11016500741243362,0.012324130162596703,0.10957541316747665,0.10176202654838562,0.11777173727750778,334,1
noisy_input,drift_medium,high_curve,0.15334628522396088,0.06046498566865921,0.14013126492500305,0.10898802429437637,0.18793317675590515,0.1730465143918991,0.0672077089548111,0.15868937969207764,0.12505918741226196,0.21307946741580963,0.14205089211463928,0.021273277699947357,0.1400512307882309,0.12645135819911957,0.156027689576149,333,1
kalman_cv,drift_medium,low_curve,0.16354677081108093,0.0599079355597496,0.15693534910678864,0.11478016525506973,0.1986740529537201,0.1841888576745987,0.06683709472417831,0.17567753791809082,0.1328870952129364,0.22435517609119415,0.019209951162338257,0.006738204509019852,0.020041977986693382,0.01444169506430626,0.024225782603025436,333,1
kalman_cv,drift_medium,mid_curve,0.18313977122306824,0.05528648570179939,0.17325711250305176,0.14580807089805603,0.21446658670902252,0.208010733127594,0.060361772775650024,0.19735589623451233,0.1665930300951004,0.23892739415168762,0.026044627651572227,0.006598068866878748,0.025715608149766922,0.021043188869953156,0.030309364199638367,334,1
kalman_cv,drift_medium,high_curve,0.21318356692790985,0.05281570181250572,0.20658786594867706,0.17595285177230835,0.24524939060211182,0.24169181287288666,0.05764428898692131,0.23365741968154907,0.20139695703983307,0.27826881408691406,0.029759885743260384,0.007334171328693628,0.029453985393047333,0.024837810546159744,0.03502938151359558,333,1
ddpm_eth_sdedit,drift_medium,low_curve,1.2402215003967285,0.2651118338108063,1.2191742658615112,1.0460954904556274,1.401711106300354,1.4242236614227295,0.2991703450679779,1.4082069396972656,1.2094841003417969,1.6087299585342407,0.03647128865122795,0.006914730649441481,0.0361255407333374,0.03203045204281807,0.040719300508499146,333,5
ddpm_eth_sdedit,drift_medium,mid_curve,1.2416340112686157,0.2669956088066101,1.2261323928833008,1.052423357963562,1.4218471050262451,1.4153963327407837,0.30320218205451965,1.40645432472229,1.1984148025512695,1.6088205575942993,0.03679534047842026,0.0069761862978339195,0.03613917529582977,0.03208445757627487,0.0409165658056736,334,5
ddpm_eth_sdedit,drift_medium,high_curve,1.2175322771072388,0.2969287931919098,1.1627047061920166,1.0101258754730225,1.4092634916305542,1.3840701580047607,0.3307267427444458,1.3429075479507446,1.1470115184783936,1.6024631261825562,0.036494556814432144,0.006702286656945944,0.03628110885620117,0.031878091394901276,0.040130890905857086,333,5
ddpm_finetuned_sdedit,drift_medium,low_curve,1.1014072895050049,0.21921254694461823,1.0997287034988403,0.948381781578064,1.2313892841339111,1.2564868927001953,0.24132201075553894,1.237168550491333,1.0949674844741821,1.4085867404937744,0.06442926824092865,0.012059124186635017,0.06299678981304169,0.05600397661328316,0.07151532173156738,333,5
ddpm_finetuned_sdedit,drift_medium,mid_curve,1.0987383127212524,0.2224096953868866,1.0854318141937256,0.9331707954406738,1.2541922330856323,1.2482177019119263,0.2495989054441452,1.2384576797485352,1.0629075765609741,1.4093263149261475,0.06688542664051056,0.011684018187224865,0.06563744693994522,0.059046670794487,0.07387949526309967,334,5
ddpm_finetuned_sdedit,drift_medium,high_curve,1.0786234140396118,0.23542387783527374,1.0629459619522095,0.905908465385437,1.2062255144119263,1.2239689826965332,0.26051226258277893,1.2041592597961426,1.0474216938018799,1.3664991855621338,0.07110875099897385,0.011291776783764362,0.07073348015546799,0.06350649893283844,0.07784250378608704,333,5
noisy_input,jump_medium,low_curve,0.15526756644248962,0.09442682564258575,0.14000000059604645,0.0829014852643013,0.20736901462078094,0.2030002325773239,0.09399010986089706,0.17888543009757996,0.1366727650165558,0.24640372395515442,0.06154783070087433,0.016302773728966713,0.060838792473077774,0.05147700011730194,0.06961217522621155,333,1
noisy_input,jump_medium,mid_curve,0.15009501576423645,0.08966449648141861,0.13999997079372406,0.0899999663233757,0.20000195503234863,0.1990433633327484,0.08980201929807663,0.17888548970222473,0.1414213478565216,0.24149876832962036,0.08830597996711731,0.015540792606770992,0.08741268515586853,0.07613318413496017,0.09725877642631531,334,1
noisy_input,jump_medium,high_curve,0.14528322219848633,0.09587851166725159,0.1300000250339508,0.07442568242549896,0.18569287657737732,0.1940096616744995,0.09382785111665726,0.17320507764816284,0.13416403532028198,0.23669536411762238,0.12531569600105286,0.02401607297360897,0.12291169166564941,0.1069943904876709,0.14033591747283936,333,1
kalman_cv,jump_medium,low_curve,0.18136775493621826,0.08534389734268188,0.16194403171539307,0.12013320624828339,0.22360634803771973,0.20997431874275208,0.08850120007991791,0.18872639536857605,0.15067912638187408,0.2509985566139221,0.01911059208214283,0.006808808539062738,0.02000845968723297,0.014828641898930073,0.02357683703303337,333,1
kalman_cv,jump_medium,mid_curve,0.20047615468502045,0.07356070727109909,0.18698738515377045,0.15299709141254425,0.23259586095809937,0.23072823882102966,0.07818938791751862,0.21234175562858582,0.18054752051830292,0.2635515034198761,0.02613593079149723,0.006895946804434061,0.026004960760474205,0.02107292227447033,0.031037062406539917,334,1
kalman_cv,jump_medium,high_curve,0.22760611772537231,0.0715661570429802,0.2137426882982254,0.1791369616985321,0.2554021179676056,0.2592359781265259,0.07579267024993896,0.24453946948051453,0.210298091173172,0.29075512290000916,0.029781341552734375,0.0075353761203587055,0.029299557209014893,0.024443116039037704,0.03549627959728241,333,1
ddpm_eth_sdedit,jump_medium,low_curve,1.3245114088058472,0.2702676057815552,1.312038540840149,1.129286289215088,1.5085453987121582,1.5207172632217407,0.30686548352241516,1.513675332069397,1.2870304584503174,1.7416471242904663,0.0369659885764122,0.00658814562484622,0.03679360821843147,0.032548218965530396,0.04094540327787399,333,5
ddpm_eth_sdedit,jump_medium,mid_curve,1.3232356309890747,0.3136427402496338,1.3032515048980713,1.0912988185882568,1.5121886730194092,1.5129181146621704,0.35680457949638367,1.4940016269683838,1.248794674873352,1.7234116792678833,0.03700173646211624,0.007085789460688829,0.03669547662138939,0.03192472457885742,0.041451938450336456,334,5
